% f=7.00Hz  Gain=3.2365(10.20dB)  Phase=-68.79deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.8100000000        -0.3943380060         2.1024657851        -0.2536491419
        0.8150000000        -0.4321321586         2.0825219772         0.1452748034
        0.8200000000        -0.4491120278         2.0735155161        -0.2536491419
        0.8250000000        -0.4444597533         2.0759860548        -0.0541871692
        0.8300000000        -0.4183994186         2.0897850235        -0.0541871692
        0.8350000000        -0.3721862584         2.1140900617        -2.8466547868
        0.8400000000        -0.3080461977         2.1474827743        -1.5169083022
        0.8450000000        -0.2290686371         2.1880745525        -1.0514970326
        0.8500000000        -0.1390576475         2.2336583516        -1.8493449234
        0.8550000000        -0.0423487410         2.5000000000        -1.9823195718
        0.8600000000         0.0563999551         2.5000000000        -1.1844716811
        0.8650000000         0.1524320641         2.7663461016        -1.4504209780
        0.8700000000         0.2411220577         2.8177909897        -1.1179843569
        0.8750000000         0.3181980515         2.8630574660         0.0787874792
        0.8800000000         0.3799475665         2.8997104714        -0.0541871692
        0.8850000000         0.4233963460         2.9257132345        -0.1206744935
        0.8900000000         0.4464516156         2.9395838824        -0.1206744935
        0.8950000000         0.4480028841         2.9405189971         0.0123001550
        0.9000000000         0.4279754323         2.9284640853        -0.0541871692
        0.9050000000         0.3873339122         2.9041184475        -0.0541871692
        0.9100000000         0.3280358823         2.8688735555         2.6053057998
        0.9150000000         0.2529375200         2.8246959675         1.4085339637
        0.9200000000         0.1656560487         2.7739740854         1.2755593153
        0.9250000000         0.0703955093         2.7193505720         1.4085339637
        0.9300000000        -0.0282557338         2.5000000000         1.2090719911
        0.9350000000        -0.1255459977         2.2404405169         1.0760973426
        0.9400000000        -0.2167891533         2.1943351039         0.6771733972
        0.9450000000        -0.2975903394         2.1528896025        -0.1871618177
        0.9500000000        -0.3640576475         2.1183436887        -0.7855477357
        0.9550000000        -0.4129895816         2.0926410687         0.2117621277
        0.9600000000        -0.4420292628         2.0772758738        -0.1206744935
        0.9650000000        -0.4497779522         2.0731617060        -0.1871618177
        0.9700000000        -0.4358624225         2.0805458483        -0.1871618177
        0.9750000000        -0.4009529359         2.0989852816        -0.5860857631
        0.9800000000        -0.3467309592         2.1273894194        -2.6471928141
        0.9850000000        -0.2758081741         2.1641208887        -1.4504209780
        0.9900000000        -0.1916006812         2.2071353313        -1.7163702749
        0.9950000000        -0.0981644586         2.2541373296        -2.0488068960
        1.0000000000        -0.0000000000         2.5000000000        -1.4504209780
        1.0050000000         0.0981644586         2.7351961460        -1.6498829507
        1.0100000000         0.1916006812         2.7889828029        -0.9850097084
        1.0150000000         0.2758081741         2.8380965832        -0.1206744935
        1.0200000000         0.3467309592         2.8799503393         0.1452748034
        1.0250000000         0.4009529359         2.9122593257        -0.1871618177
        1.0300000000         0.4358624225         2.9332068281        -0.1871618177
        1.0350000000         0.4497779522         2.9415893042         0.1452748034
        1.0400000000         0.4420292628         2.9369193306        -0.0541871692
        1.0450000000         0.4129895816         2.9194688702         0.0123001550
        1.0500000000         0.3640576475         2.8902450178         2.5388184756
        1.0550000000         0.2975903394         2.8509026551         1.4750212880
        1.0600000000         0.2167891533         2.8036092209         0.9431226942
        1.0650000000         0.1255459977         2.7508827126         1.4085339637
        1.0700000000         0.0282557338         2.5000000000         1.4750212880
        1.0750000000        -0.0703955093         2.2679639325         0.8766353699
        1.0800000000        -0.1656560487         2.2202616783         0.9431226942
        1.0850000000        -0.2529375200         2.1758666348         0.2782494519
        1.0900000000        -0.3280358823         2.1371174876        -0.3201364662
        1.0950000000        -0.3873339122         2.1061463881        -0.1206744935
        1.1000000000        -0.4279754323         2.0847223900        -0.3201364662
        1.1050000000        -0.4480028841         2.0741047125         0.0123001550
        1.1100000000        -0.4464516156         2.0749285652         0.2117621277
        1.1150000000        -0.4233963460         2.0871443917        -0.4531111146
        1.1200000000        -0.3799475665         2.1100226865        -2.8466547868
        1.1250000000        -0.3181980515         2.1422233970        -1.7828575991
        1.1300000000        -0.2411220577         2.1819161471        -1.4504209780
        1.1350000000        -0.1524320641         2.2269297288        -1.7163702749
        1.1400000000        -0.0563999551         2.5000000000        -1.8493449234
