% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        2.5103989000         1.4016475000         2.6997381580         0.1628939444
        2.5153870000         1.3965428462         2.6920825256         0.0299192959
        2.5203943000         1.3888858657         2.6869787707        -0.1695426768
        2.5253975000         1.4016475000         2.6997381580         0.1628939444
        2.5303877000         1.3990951731         2.6920825256         0.0964066201
        2.5353900000         1.3965428462         2.6920825256         0.0299192959
        2.5403994000         1.3939905194         2.6920825256        -0.0365680283
        2.5454168000         1.3914381925         2.6869787707        -0.1030553526
        2.5504197000         1.4016475000         2.6971862806         0.1628939444
        2.5554022000         1.3914381925         2.6869787707        -0.1030553526
        2.5603826000         1.3965428462         2.6920825256         0.0299192959
        2.5653901000         1.3939905194         2.6895306482        -0.0365680283
        2.5704068000         1.3965428462         2.6869787707         0.0299192959
        2.5754175000         1.4016475000         2.6971862806         0.1628939444
        2.5804281000         1.3914381925         2.6920825256        -0.1030553526
        2.5854136000         1.3965428462         2.6920825256         0.0299192959
        2.5905780000         1.3965428462         2.6946344031         0.0299192959
        2.5954451000         1.3965428462         2.6920825256         0.0299192959
        2.6004502000         1.3965428462         2.6895306482         0.0299192959
        2.6054430000         1.4016475000         2.6997381580         0.1628939444
        2.6104332000         1.3888858657         2.6869787707        -0.1695426768
        2.6154465000         1.4016475000         2.6997381580         0.1628939444
        2.6204473000         1.3914381925         2.6869787707        -0.1030553526
        2.6254036000         1.3965428462         2.6920825256         0.0299192959
        2.6304048000         1.3965428462         2.6920825256         0.0299192959
        2.6354162000         1.3888858657         2.6869787707        -0.1695426768
        2.6404036000         1.3939905194         2.6946344031        -0.0365680283
        2.6453838000         1.4016475000         2.6971862806         0.1628939444
        2.6503879000         1.3888858657         2.6869787707        -0.1695426768
        2.6554152000         1.4016475000         2.6971862806         0.1628939444
        2.6604148000         1.3914381925         2.6869787707        -0.1030553526
        2.6654011000         1.3939905194         2.6920825256        -0.0365680283
        2.6704004000         1.3939905194         2.6920825256        -0.0365680283
        2.6753868000         1.3888858657         2.6869787707        -0.1695426768
        2.6803992000         1.3965428462         2.6895306482         0.0299192959
        2.6853857000         1.4016475000         2.6971862806         0.1628939444
