% f=5.00Hz  n_cycles=5  N_total=200  dt=0.005000
% Amp=1.0000V  K_lin=7.165500
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.4750000000         0.7071067812         3.0270762550         1.4629033445         2.8554026830         3.2635303097         5.0667736406
        0.4800000000         0.5877852523         2.9759363474         1.4705603251         2.8630583154         3.4629922823         4.2117752253
        0.4850000000         0.4539904997         2.9197068910         1.4858742862         2.8809214576         3.8619162277         3.2530689259
        0.4900000000         0.3090169944         2.8600303462         1.4756649788         2.8962327224         3.5959669308         2.2142612732
        0.4950000000         0.1564344650         2.7985414235         1.4756649788         2.9038883547         3.5959669308         1.1209311592
        0.5000000000         0.0000000000         2.5000000000         1.4807696325         2.9191996195         3.7289415793         0.0000000000
        0.5050000000        -0.1564344650         2.1949233660         1.4552463639         2.9243033744         3.0640683370        -1.1209311592
        0.5100000000        -0.3090169944         2.1302493416         1.4373800759         2.9345108842         2.5986570674        -2.2142612732
        0.5150000000        -0.4539904997         2.0676102662         1.3965428462         2.9574777814         1.5348598798        -3.2530689259
        0.5200000000        -0.5877852523         2.0087121548         1.3480486360         2.9498221490         0.2716007195        -4.2117752253
        0.5250000000        -0.7071067812         1.9552543189         1.3403916554         2.9600296588         0.0721387468        -5.0667736406
        0.5300000000        -0.8090169944         1.9088663533         1.3276300211         2.9523740265        -0.2602978743        -5.7970112732
        0.5350000000        -0.8910065242         1.8710353147         1.3327346748         2.9498221490        -0.1273232259        -6.3845072491
        0.5400000000        -0.9510565163         1.8430278723         1.3301823480         2.9472702715        -0.1938105501        -6.8147954675
        0.5450000000        -0.9876883406         1.8258148806         1.3352870017         2.9574777814        -0.0608359017        -7.0772808045
        0.5500000000        -1.0000000000         1.8200076144         1.1974613514         2.9472702715        -3.6511514099        -7.1655000000
        0.5550000000        -0.9876883406         1.8258148806         1.2127753126         2.9268552519        -3.2522274645        -7.0772808045
        0.5600000000        -0.9510565163         1.8430278723         1.2510602154         2.9294071293        -2.2549176011        -6.8147954675
        0.5650000000        -0.8910065242         1.8710353147         1.2127753126         2.9140958646        -3.2522274645        -6.3845072491
        0.5700000000        -0.8090169944         1.9088663533         1.1719380829         2.8911289674        -4.3160246522        -5.7970112732
        0.5750000000        -0.7071067812         1.9552543189         1.2076706589         2.8834733351        -3.3852021130        -5.0667736406
        0.5800000000        -0.5877852523         2.0087121548         1.2051183320         2.8732658252        -3.4516894372        -4.2117752253
