% Static Verify Step 11/48  OmegaCmd=+300.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=5.119690 rad/s  omega_target=5.235988 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.9204581000       300.0000000000         3.0347054762         1.5241591891         2.3399234363         4.8495854291         5.2359877560
        0.9254683000       300.0000000000         3.0347054762         1.5369208233         2.3679940883         5.1820220502         5.2359877560
        0.9304298000       300.0000000000         3.0347054762         1.5394731502         2.3858572306         5.2485093745         5.2359877560
        0.9354013000       300.0000000000         3.0347054762         1.5318161696         2.4062722502         5.0490474018         5.2359877560
        0.9404800000       300.0000000000         3.0347054762         1.5394731502         2.4317910248         5.2485093745         5.2359877560
        0.9453958000       300.0000000000         3.0347054762         1.5471301308         2.4445504121         5.4479713471         5.2359877560
        0.9504762000       300.0000000000         3.0347054762         1.5471301308         2.4751729416         5.4479713471         5.2359877560
        0.9553998000       300.0000000000         3.0347054762         1.5292638428         2.4853804515         4.9825600775         5.2359877560
        0.9604460000       300.0000000000         3.0347054762         1.5318161696         2.5032435937         5.0490474018         5.2359877560
        0.9654050000       300.0000000000         3.0347054762         1.5343684965         2.5338661232         5.1155347260         5.2359877560
        0.9703899000       300.0000000000         3.0347054762         1.5216068622         2.5415217556         4.7830981049         5.2359877560
        0.9753948000       300.0000000000         3.0347054762         1.5369208233         2.5721442851         5.1820220502         5.2359877560
        0.9804159000       300.0000000000         3.0347054762         1.5267115159         2.5797999174         4.9160727533         5.2359877560
        0.9854159000       300.0000000000         3.0347054762         1.5267115159         2.5951111822         4.9160727533         5.2359877560
        0.9904225000       300.0000000000         3.0347054762         1.5267115159         2.6231818342         4.9160727533         5.2359877560
        0.9953865000       300.0000000000         3.0347054762         1.5267115159         2.6461487314         4.9160727533         5.2359877560
        1.0004090000       300.0000000000         3.0347054762         1.5190545354         2.6589081187         4.7166107806         5.2359877560
        1.0054437000       300.0000000000         3.0347054762         1.5292638428         2.6895306482         4.9825600775         5.2359877560
        1.0104372000       300.0000000000         3.0347054762         1.5292638428         2.7022900355         4.9825600775         5.2359877560
        1.0154203000       300.0000000000         3.0347054762         1.5292638428         2.7278088101         4.9825600775         5.2359877560
        1.0204944000       300.0000000000         3.0347054762         1.5190545354         2.7303606875         4.7166107806         5.2359877560
        1.0254472000       300.0000000000         3.0347054762         1.5394731502         2.7635350945         5.2485093745         5.2359877560
        1.0304010000       300.0000000000         3.0347054762         1.5343684965         2.7762944818         5.1155347260         5.2359877560
        1.0353935000       300.0000000000         3.0347054762         1.5292638428         2.7916057465         4.9825600775         5.2359877560
        1.0404928000       300.0000000000         3.0347054762         1.5318161696         2.8222282761         5.0490474018         5.2359877560
        1.0454260000       300.0000000000         3.0347054762         1.5318161696         2.8426432957         5.0490474018         5.2359877560
        1.0504122000       300.0000000000         3.0347054762         1.5369208233         2.8605064379         5.1820220502         5.2359877560
        1.0554151000       300.0000000000         3.0347054762         1.5445778039         2.8783695801         5.3814840229         5.2359877560
        1.0604073000       300.0000000000         3.0347054762         1.5292638428         2.8911289674         4.9825600775         5.2359877560
        1.0654432000       300.0000000000         3.0347054762         1.5292638428         2.9140958646         4.9825600775         5.2359877560
        1.0703975000       300.0000000000         3.0347054762         1.5292638428         2.9345108842         4.9825600775         5.2359877560
        1.0754142000       300.0000000000         3.0347054762         1.5165022085         2.9447183941         4.6501234564         5.2359877560
        1.0803944000       300.0000000000         3.0347054762         1.5292638428         2.9727890461         4.9825600775         5.2359877560
        1.0854503000       300.0000000000         3.0347054762         1.5394731502         2.9983078207         5.2485093745         5.2359877560
        1.0904768000       300.0000000000         3.0347054762         1.5139498816         3.0059634531         4.5836361322         5.2359877560
        1.0953985000       300.0000000000         3.0347054762         1.5267115159         3.0314822277         4.9160727533         5.2359877560
        1.1004515000       300.0000000000         3.0347054762         1.5318161696         3.0467934924         5.0490474018         5.2359877560
        1.1054435000       300.0000000000         3.0347054762         1.5267115159         3.0672085121         4.9160727533         5.2359877560
        1.1104520000       300.0000000000         3.0347054762         1.5267115159         3.0850716543         4.9160727533         5.2359877560
        1.1154810000       300.0000000000         3.0347054762         1.5420254771         3.1131423064         5.3149966987         5.2359877560
        1.1204720000       300.0000000000         3.0347054762         1.5343684965         3.1259016937         5.1155347260         5.2359877560
        1.1253918000       300.0000000000         3.0347054762         1.5292638428         3.1386610810         4.9825600775         5.2359877560
        1.1304321000       300.0000000000         3.0347054762         1.5292638428         3.1641798556         4.9825600775         5.2359877560
        1.1354770000       300.0000000000         3.0347054762         1.5318161696         3.1794911203         5.0490474018         5.2359877560
        1.1404633000       300.0000000000         3.0347054762         1.5369208233         3.2024580174         5.1820220502         5.2359877560
        1.1453917000       300.0000000000         3.0347054762         1.5496824576         3.2305286695         5.5144586714         5.2359877560
        1.1503909000       300.0000000000         3.0347054762         1.5369208233         3.2458399342         5.1820220502         5.2359877560
        1.1553894000       300.0000000000         3.0347054762         1.5445778039         3.2713587088         5.3814840229         5.2359877560
        1.1604546000       300.0000000000         3.0347054762         1.5394731502         3.2841180961         5.2485093745         5.2359877560
        1.1654428000       300.0000000000         3.0347054762         1.5343684965         3.3045331158         5.1155347260         5.2359877560
        1.1704070000       300.0000000000         3.0347054762         1.5445778039         3.3300518904         5.3814840229         5.2359877560
        1.1754586000       300.0000000000         3.0347054762         1.5369208233         3.3377075228         5.1820220502         5.2359877560
        1.1804484000       300.0000000000         3.0347054762         1.5369208233         3.3632262974         5.1820220502         5.2359877560
        1.1854724000       300.0000000000         3.0347054762         1.5471301308         3.3938488269         5.4479713471         5.2359877560
        1.1904237000       300.0000000000         3.0347054762         1.5369208233         3.4066082142         5.1820220502         5.2359877560
        1.1954472000       300.0000000000         3.0347054762         1.5369208233         3.4168157240         5.1820220502         5.2359877560
        1.2005407000       300.0000000000         3.0347054762         1.5394731502         3.4474382535         5.2485093745         5.2359877560
        1.2054100000       300.0000000000         3.0347054762         1.5445778039         3.4704051506         5.3814840229         5.2359877560
        1.2103898000       300.0000000000         3.0347054762         1.5624440919         3.4882682929         5.8468952925         5.2359877560
        1.2153873000       300.0000000000         3.0347054762         1.5496824576         3.5137870674         5.5144586714         5.2359877560
        1.2204278000       300.0000000000         3.0347054762         1.5292638428         3.5214426998         4.9825600775         5.2359877560
        1.2253957000       300.0000000000         3.0347054762         1.5394731502         3.5495133519         5.2485093745         5.2359877560
        1.2304043000       300.0000000000         3.0347054762         1.5522347845         3.5750321265         5.5809459956         5.2359877560
        1.2354245000       300.0000000000         3.0347054762         1.5420254771         3.5903433912         5.3149966987         5.2359877560
        1.2405206000       300.0000000000         3.0347054762         1.5420254771         3.6082065334         5.3149966987         5.2359877560
        1.2454453000       300.0000000000         3.0347054762         1.5471301308         3.6311734306         5.4479713471         5.2359877560
        1.2504673000       300.0000000000         3.0347054762         1.5369208233         3.6515884502         5.1820220502         5.2359877560
        1.2554384000       300.0000000000         3.0347054762         1.5394731502         3.6720034699         5.2485093745         5.2359877560
        1.2604330000       300.0000000000         3.0347054762         1.5522347845         3.7000741219         5.5809459956         5.2359877560
        1.2654188000       300.0000000000         3.0347054762         1.5369208233         3.7077297543         5.1820220502         5.2359877560
        1.2704407000       300.0000000000         3.0347054762         1.5394731502         3.7358004064         5.2485093745         5.2359877560
        1.2754445000       300.0000000000         3.0347054762         1.5318161696         3.7485597937         5.0490474018         5.2359877560
        1.2803918000       300.0000000000         3.0347054762         1.5369208233         3.7791823232         5.1820220502         5.2359877560
        1.2854148000       300.0000000000         3.0347054762         1.5445778039         3.8021492203         5.3814840229         5.2359877560
        1.2904349000       300.0000000000         3.0347054762         1.5343684965         3.8098048527         5.1155347260         5.2359877560
        1.2954420000       300.0000000000         3.0347054762         1.5445778039         3.8353236273         5.3814840229         5.2359877560
        1.3004979000       300.0000000000         3.0347054762         1.5369208233         3.8557386469         5.1820220502         5.2359877560
        1.3054096000       300.0000000000         3.0347054762         1.5318161696         3.8684980342         5.0490474018         5.2359877560
        1.3104948000       300.0000000000         3.0347054762         1.5420254771         3.8940168088         5.3149966987         5.2359877560
        1.3154147000       300.0000000000         3.0347054762         1.5369208233         3.9144318285         5.1820220502         5.2359877560
        1.3204016000       300.0000000000         3.0347054762         1.5394731502         3.9297430933         5.2485093745         5.2359877560
        1.3254468000       300.0000000000         3.0347054762         1.5471301308         3.9629175002         5.4479713471         5.2359877560
