% Static Verify Step 24/51  Vcmd=+1.2000V
% Vg_offset=1.337814V  K_gimbal=26.049690  K_lin=8.298800
% omega_avg(last 2.0s)=9.414771 rad/s  omega_target=9.958560 rad/s

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        2.6354231000         1.2000000000         3.3641808108         1.7104790496         3.3734338072         9.7078142103         9.9585600000
        2.6404614000         1.2000000000         3.3641808108         1.6926127616         3.4193676015         9.2424029408         9.9585600000
        2.6453852000         1.2000000000         3.3641808108         1.6926127616         3.4474382535         9.2424029408         9.9585600000
        2.6503844000         1.2000000000         3.3641808108         1.7053743959         3.4933720478         9.5748395619         9.9585600000
        2.6554356000         1.2000000000         3.3641808108         1.7028220690         3.5239945773         9.5083522377         9.9585600000
        2.6604209000         1.2000000000         3.3641808108         1.6824034542         3.5597208617         8.9764536438         9.9585600000
        2.6654268000         1.2000000000         3.3641808108         1.7130313764         3.6031027785         9.7743015346         9.9585600000
        2.6704234000         1.2000000000         3.3641808108         1.6875081079         3.6260696756         9.1094282923         9.9585600000
        2.6754218000         1.2000000000         3.3641808108         1.6900604347         3.6668997150         9.1759156165         9.9585600000
        2.6804433000         1.2000000000         3.3641808108         1.7002697422         3.7077297543         9.4418649134         9.9585600000
        2.6856356000         1.2000000000         3.3641808108         1.7053743959         3.7460079162         9.5748395619         9.9585600000
        2.6903872000         1.2000000000         3.3641808108         1.7002697422         3.7817342006         9.4418649134         9.9585600000
        2.6953878000         1.2000000000         3.3641808108         1.6875081079         3.8021492203         9.1094282923         9.9585600000
        2.7005522000         1.2000000000         3.3641808108         1.7028220690         3.8480830146         9.5083522377         9.9585600000
        2.7053922000         1.2000000000         3.3641808108         1.6926127616         3.8838092990         9.2424029408         9.9585600000
        2.7103962000         1.2000000000         3.3641808108         1.6926127616         3.9169837060         9.2424029408         9.9585600000
        2.7153835000         1.2000000000         3.3641808108         1.6849557810         3.9552618679         9.0429409681         9.9585600000
        2.7204254000         1.2000000000         3.3641808108         1.7232406839         3.9833325199        10.0402508315         9.9585600000
        2.7254529000         1.2000000000         3.3641808108         1.6926127616         4.0292663142         9.2424029408         9.9585600000
        2.7304198000         1.2000000000         3.3641808108         1.6977174153         4.0547850888         9.3753775892         9.9585600000
        2.7354234000         1.2000000000         3.3641808108         1.6926127616         4.0981670056         9.2424029408         9.9585600000
        2.7404579000         1.2000000000         3.3641808108         1.7002697422         4.1338932900         9.4418649134         9.9585600000
        2.7455022000         1.2000000000         3.3641808108         1.6900604347         4.1696195744         9.1759156165         9.9585600000
        2.7503904000         1.2000000000         3.3641808108         1.7053743959         4.2053458588         9.5748395619         9.9585600000
        2.7553853000         1.2000000000         3.3641808108         1.6900604347         4.2512796531         9.1759156165         9.9585600000
        2.7603853000         1.2000000000         3.3641808108         1.7104790496         4.2767984277         9.7078142103         9.9585600000
        2.7654172000         1.2000000000         3.3641808108         1.6875081079         4.3227322219         9.1094282923         9.9585600000
        2.7704183000         1.2000000000         3.3641808108         1.7028220690         4.3508028740         9.5083522377         9.9585600000
        2.7754173000         1.2000000000         3.3641808108         1.6900604347         4.3865291584         9.1759156165         9.9585600000
        2.7804325000         1.2000000000         3.3641808108         1.7053743959         4.4197035654         9.5748395619         9.9585600000
        2.7854253000         1.2000000000         3.3641808108         1.6798511273         4.4630854822         8.9099663196         9.9585600000
        2.7904180000         1.2000000000         3.3641808108         1.7181360302         4.4988117666         9.9072761830         9.9585600000
