% Position Control  theta_d=+30.0000 deg (0.523599 rad)
% Kp=72.950000  Kd=2.695000
% Vg_offset=1.338733V  K_gimbal=26.049690  samples=233

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Theta[rad]          
        0.4857336000      1759.6540395113         5.0000000000         1.0264554521         2.8502989281        -8.1347241191         0.4031234475
        0.4906264000       968.0156338771         3.8940553767         1.1949090246         2.8732658252        -3.7465607202         0.4304105798
        0.4956327000      -154.5552226376         2.0975207127         1.4424847297         2.8987845998         2.7027097298         0.4607296158
        0.5006206000     -1056.7184874780         0.8218900956         1.6415662245         2.9191996195         7.8887210195         0.4849848445
        0.5056363000     -1324.7679904513         0.0311842689         1.6798511273         2.9421665166         8.8860308829         0.5122719768
        0.5109195000     -1401.9249954892         0.0000000000         1.6517755319         2.9804446785         8.1546703164         0.5577505307
        0.5157617000     -1500.2570254090         0.0000000000         1.6415662245         3.0085153306         7.8887210195         0.5911014702
        0.5207692000     -1590.7286868404         0.0000000000         1.6262522633         3.0391378601         7.4897970741         0.6274843133
        0.5256653000     -1701.7332464154         0.0000000000         1.6160429559         3.0697603896         7.2238477772         0.6638671564
        0.5308708000     -1823.0042550621         0.0000000000         1.6083859753         3.1003829191         7.0243858045         0.7002499995
        0.5357002000     -1795.7328155371         0.0000000000         1.5701010725         3.1259016937         6.0270759411         0.7305690354
        0.5409414000      -476.3354728134         1.7432655833         1.2893451183         3.0876235318        -1.2865297238         0.6850904816
        0.5456540000       612.3878291643         3.3635325894         1.0596357012         3.0544491248        -7.2703889042         0.6456757349
        0.5506923000      1172.7100673143         4.4042045286         0.9549903001         3.0263784728        -9.9963691975         0.6123247954
        0.5555522000      1181.0501361714         4.4298235404         0.9907228761         2.9957559433        -9.0655466583         0.5759419523
        0.5607121000      1327.6662041285         4.9577707279         0.9983798566         2.9600296588        -8.8660846856         0.5334953020
        0.5656292000      1464.0158230138         5.0000000000         1.0085891641         2.9243033744        -8.6001353887         0.4910486517
        0.5706027000      1577.4264631721         5.0000000000         1.0213507983         2.8911289674        -8.2676987676         0.4516339050
        0.5756155000      1686.0249421637         5.0000000000         1.0290077789         2.8630583154        -8.0682367949         0.4182829655
        0.5805642000      1789.1691332502         5.0000000000         1.0443217401         2.8298839084        -7.6693128495         0.3788682188
        0.5855472000       784.3413776919         3.5818848860         1.2689265034         2.8502989281        -1.8184283176         0.4031234475
        0.5906253000      -312.2422927742         1.9188666096         1.5037405742         2.8809214576         4.2984055113         0.4395062906
        0.5956930000     -1172.6976345892         0.5183462123         1.6798511273         2.9115439871         8.8860308829         0.4758891337
        0.6006842000     -1283.7021941642         0.1735123267         1.6696418199         2.9421665166         8.6200815860         0.5122719768
        0.6056250000     -1353.6409574520         0.0000000000         1.6492232050         2.9727890461         8.0881829922         0.5486548199
        0.6106826000     -1464.6455170269         0.0000000000         1.6390138976         3.0034115756         7.8222336953         0.5850376630
        0.6156761000     -1593.1347674238         0.0000000000         1.6236999365         3.0416897375         7.4233097499         0.6305162169
        0.6204851000     -1711.9996954871         0.0000000000         1.6185952828         3.0697603896         7.2903351015         0.6638671564
        0.6256999000     -1774.7202170248         0.0000000000         1.6058336485         3.0927272867         6.9578984803         0.6911542887
        0.6306150000     -1474.5871133597         0.0000000000         1.5343684965         3.0901754092         5.0962534020         0.6881223852
        0.6355017000      -182.2987837915         2.0642689573         1.2382985811         3.0697603896        -2.6162762083         0.6638671564
        0.6405701000       888.2977006260         3.7454152333         1.0162461446         3.0340341051        -8.4006734160         0.6214205061
        0.6456462000      1289.1689147942         4.8039373861         0.9575426269         3.0008596982        -9.9298818733         0.5820057594
        0.6505939000      1343.3869411053         5.0000000000         0.9881705492         2.9651334138        -9.1320339825         0.5395591091
        0.6556148000      1436.2646831200         5.0000000000         1.0060368372         2.9319590068        -8.6666227129         0.5001443625
        0.6605506000      1601.0075686373         5.0000000000         1.0060368372         2.8987845998        -8.6666227129         0.4607296158
        0.6658104000      1727.0907384508         5.0000000000         1.0187984715         2.8630583154        -8.3341860918         0.4182829655
        0.6707141000      1861.0342767527         5.0000000000         1.0264554521         2.8298839084        -8.1347241191         0.3788682188
        0.6757772000      1910.4401418969         5.0000000000         1.0519787206         2.7992613789        -7.4698508769         0.3424853757
        0.6806678000       723.8645103682         3.4990933209         1.3123160600         2.8273320310        -0.6881438057         0.3758363152
        0.6857099000      -326.8412026440         1.9032092326         1.5420254771         2.8528508056         5.2957153747         0.4061553511
        0.6906151000     -1138.3703796836         0.6139086648         1.7028220690         2.8860252125         9.4844168009         0.4455700978
        0.6958027000     -1269.2657106638         0.2215948211         1.6849557810         2.9268552519         9.0190055314         0.4940805553
        0.7007296000     -1405.6153295491         0.0000000000         1.6747464736         2.9625815363         8.7530562344         0.5365272056
        0.7055970000     -1501.5412788855         0.0000000000         1.6670894930         2.9881003109         8.5535942618         0.5668462415
        0.7106495000     -1484.5362884322         0.0000000000         1.6313569170         3.0136190855         7.6227717226         0.5971652774
        0.7155855000     -1687.2967629150         0.0000000000         1.6313569170         3.0544491248         7.6227717226         0.6456757349
        0.7206129000     -1775.3623437630         0.0000000000         1.6185952828         3.0825197769         7.2903351015         0.6790266744
        0.7256247000      -919.0770363765         1.1171337561         1.4246184417         3.0672085121         2.2372984602         0.6608352528
        0.7306112000       339.3637386547         3.0755621400         1.1464148143         3.0391378601        -5.0098198805         0.6274843133
        0.7356265000      1251.1513258287         4.6630761567         0.9575426269         3.0085153306        -9.9298818733         0.5911014702
        0.7406573000      1338.5747799385         5.0000000000         0.9830658955         2.9702371687        -9.2650086310         0.5456229163
        0.7456510000      1454.3915006802         5.0000000000         0.9983798566         2.9345108842        -8.8660846856         0.5031762660
        0.7506870000      1601.0075686373         5.0000000000         1.0060368372         2.8987845998        -8.6666227129         0.4607296158
        0.7557459000      1734.9511069392         5.0000000000         1.0136938178         2.8656101929        -8.4671607403         0.4213148691
        0.7644291000      1779.5448109167         5.0000000000         1.0341124326         2.8400914183        -7.9352621465         0.3909958331
        0.7661523000      1961.7723872558         5.0000000000         1.0392170863         2.7992613789        -7.8022874980         0.3424853757
        0.7708104000      1348.8336502705         5.0000000000         1.1821473903         2.8069170113        -4.0789973413         0.3515810864
        0.7779725000      -350.4223081092         1.8780491025         1.5573394382         2.8451951732         5.6946393200         0.3970596403
        0.7805132000      -844.9758173999         1.2511777847         1.6645371662         2.8579545605         8.4871069375         0.4122191583
        0.7855882000     -1210.2355231860         0.4080113691         1.7206883570         2.8860252125         9.9498280705         0.4455700978
        0.7905527000     -1274.7199985688         0.2035461649         1.6926127616         2.9217514970         9.2184675040         0.4880167481
        0.7957782000     -1423.7421471093         0.0000000000         1.6824034542         2.9600296588         8.9525182071         0.5334953020
        0.8006717000     -1539.5588678510         0.0000000000         1.6670894930         2.9957559433         8.5535942618         0.5759419523
        0.8056228000     -1611.9037117222         0.0000000000         1.6441185513         3.0289303502         7.9552083437         0.6153566989
        0.8106536000     -1741.0350888573         0.0000000000         1.6415662245         3.0570010023         7.8887210195         0.6487076385
        0.8156370000     -1411.8665918220         0.0000000000         1.5471301308         3.0672085121         5.4286900231         0.6608352528
        0.8206265000       -19.9619788576         2.2771620954         1.2357462543         3.0391378601        -2.6827635325         0.6274843133
        0.8255967000      1061.5430813699         4.1011294254         0.9983798566         3.0136190855        -8.8660846856         0.5971652774
        0.8305942000      1313.8718473663         4.9013082988         0.9703042612         2.9855484334        -9.5974452521         0.5638143379
        0.8355442000      1467.7061570736         5.0000000000         0.9856182224         2.9421665166        -9.1985213068         0.5122719768
        0.8405584000      1629.4008352692         5.0000000000         0.9958275298         2.9013364773        -8.9325720099         0.4637615193
        0.8455405000      1763.3443735711         5.0000000000         1.0034845104         2.8681620703        -8.7331100372         0.4243467726
        0.8506067000      1802.4837896436         5.0000000000         1.0315601058         2.8375395408        -8.0017494707         0.3879639295
        0.8556696000      1954.5541455057         5.0000000000         1.0315601058         2.8069170113        -8.0017494707         0.3515810864
        0.8605654000      1837.9328716562         5.0000000000         1.0826066429         2.7890538691        -6.6720029861         0.3303577613
        0.8656834000       707.5016466531         3.4779549920         1.3352870017         2.8120207662        -0.0897578877         0.3576448936
        0.8706582000      -399.3484728847         1.8260426522         1.5726533993         2.8426432957         6.0935632654         0.3940277367
        0.8756630000     -1019.5054516202         0.9081987729         1.7079267227         2.8579545605         9.6173914494         0.4122191583
        0.8806593000     -1053.1905797877         0.8302919503         1.6721941467         2.8936808449         8.6865689102         0.4546658086
        0.8856584000     -1255.9510542704         0.2650598014         1.6721941467         2.9345108842         8.6865689102         0.5031762660
        0.8906500000     -1394.7067537391         0.0000000000         1.6594325125         2.9727890461         8.3541322891         0.5486548199
        0.8956544000     -1518.3838429692         0.0000000000         1.6492232050         3.0059634531         8.0881829922         0.5880695666
        0.9007193000     -1542.4446488031         0.0000000000         1.6236999365         3.0314822277         7.4233097499         0.6183886025
        0.9056867000     -1594.8987212690         0.0000000000         1.6083859753         3.0544491248         7.0243858045         0.6456757349
        0.9106743000      -234.4355822582         2.0042293550         1.3174207137         3.0161709629        -0.5551691573         0.6001971810
        0.9156581000       926.7949899602         3.8143392290         1.0570833743         2.9932040658        -7.3368762284         0.5729100487
        0.9205982000      1512.4622874206         5.0000000000         0.9524379732         2.9600296588       -10.0628565217         0.5334953020
        0.9257106000      1479.7365599905         5.0000000000         0.9983798566         2.9294071293        -8.8660846856         0.4971124589
        0.9307081000      1601.0075686373         5.0000000000         1.0060368372         2.8987845998        -8.6666227129         0.4607296158
        0.9357287000      1783.2351449765         5.0000000000         1.0111414909         2.8579545605        -8.5336480645         0.4122191583
        0.9406300000      1952.7901916605         5.0000000000         1.0162461446         2.8196763986        -8.4006734160         0.3667406044
        0.9456613000      2063.7947512354         5.0000000000         1.0264554521         2.7890538691        -8.1347241191         0.3303577613
        0.9506596000      2021.4447014719         5.0000000000         1.0621880280         2.7686388494        -7.2039015800         0.3061025326
