% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.8954082000         1.3939905194         3.3453631551        -0.0365680283
        0.9003884000         1.3939905194         3.3479150326        -0.0365680283
        0.9054325000         1.3914381925         3.3402594002        -0.1030553526
        0.9104204000         1.3914381925         3.3402594002        -0.1030553526
        0.9154619000         1.3965428462         3.3453631551         0.0299192959
        0.9205170000         1.4016475000         3.3504669101         0.1628939444
        0.9254176000         1.3965428462         3.3479150326         0.0299192959
        0.9304266000         1.3888858657         3.3428112777        -0.1695426768
        0.9354327000         1.4016475000         3.3504669101         0.1628939444
        0.9404364000         1.3965428462         3.3453631551         0.0299192959
        0.9454007000         1.4041998268         3.3530187875         0.2293812686
        0.9504375000         1.3914381925         3.3402594002        -0.1030553526
        0.9554211000         1.3863335388         3.3402594002        -0.2360300010
        0.9603967000         1.3939905194         3.3453631551        -0.0365680283
        0.9654274000         1.4016475000         3.3530187875         0.1628939444
        0.9703930000         1.4016475000         3.3530187875         0.1628939444
        0.9753735000         1.4016475000         3.3530187875         0.1628939444
        0.9803969000         1.3888858657         3.3402594002        -0.1695426768
        0.9853948000         1.3914381925         3.3428112777        -0.1030553526
        0.9904370000         1.3965428462         3.3453631551         0.0299192959
        0.9954107000         1.3939905194         3.3453631551        -0.0365680283
        1.0003989000         1.3914381925         3.3402594002        -0.1030553526
        1.0053805000         1.3888858657         3.3402594002        -0.1695426768
        1.0103829000         1.3965428462         3.3453631551         0.0299192959
        1.0154484000         1.3965428462         3.3453631551         0.0299192959
        1.0204025000         1.3939905194         3.3453631551        -0.0365680283
        1.0253898000         1.3888858657         3.3402594002        -0.1695426768
        1.0303855000         1.4016475000         3.3530187875         0.1628939444
        1.0354014000         1.3888858657         3.3453631551        -0.1695426768
        1.0404100000         1.3888858657         3.3402594002        -0.1695426768
        1.0454003000         1.4016475000         3.3530187875         0.1628939444
        1.0504083000         1.3965428462         3.3453631551         0.0299192959
        1.0553850000         1.3888858657         3.3377075228        -0.1695426768
        1.0604027000         1.3965428462         3.3453631551         0.0299192959
        1.0654066000         1.4016475000         3.3504669101         0.1628939444
        1.0704372000         1.3914381925         3.3402594002        -0.1030553526
        1.0754021000         1.3914381925         3.3402594002        -0.1030553526
        1.0804150000         1.4016475000         3.3504669101         0.1628939444
        1.0853879000         1.3965428462         3.3453631551         0.0299192959
