% Potentiometer Recording  5.0 s
% Vg_offset=1.338069V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.8954263000         1.3378393285         2.4649654318        -0.0059838592
        0.9004186000         1.3429439823         2.4700691867         0.1269907893
        0.9054227000         1.3352870017         2.4649654318        -0.0724711834
        0.9104321000         1.3301823480         2.4598616769        -0.2054458319
        0.9154109000         1.3327346748         2.4598616769        -0.1389585076
        0.9204255000         1.3352870017         2.4675173092        -0.0724711834
        0.9254105000         1.3454963091         2.4726210642         0.1934781135
        0.9304177000         1.3378393285         2.4649654318        -0.0059838592
        0.9354488000         1.3327346748         2.4598616769        -0.1389585076
        0.9404514000         1.3301823480         2.4573097994        -0.2054458319
        0.9454242000         1.3378393285         2.4649654318        -0.0059838592
        0.9504248000         1.3582579434         2.4700691867         0.5259147346
        0.9554178000         1.3454963091         2.4726210642         0.1934781135
        0.9603911000         1.3352870017         2.4649654318        -0.0724711834
        0.9653939000         1.3301823480         2.4573097994        -0.2054458319
        0.9703855000         1.3378393285         2.4649654318        -0.0059838592
        0.9753974000         1.3378393285         2.4649654318        -0.0059838592
        0.9803867000         1.3327346748         2.4649654318        -0.1389585076
        0.9853908000         1.3378393285         2.4649654318        -0.0059838592
        0.9904108000         1.3378393285         2.4726210642        -0.0059838592
        0.9954055000         1.3378393285         2.4649654318        -0.0059838592
        1.0006706000         1.3301823480         2.4598616769        -0.2054458319
        1.0053882000         1.3454963091         2.4700691867         0.1934781135
        1.0104329000         1.3301823480         2.4649654318        -0.2054458319
        1.0154100000         1.3378393285         2.4573097994        -0.0059838592
        1.0204254000         1.3480486360         2.4573097994         0.2599654377
        1.0254039000         1.3429439823         2.4700691867         0.1269907893
        1.0304064000         1.3327346748         2.4649654318        -0.1389585076
        1.0354012000         1.3352870017         2.4649654318        -0.0724711834
        1.0404043000         1.3327346748         2.4649654318        -0.1389585076
        1.0453914000         1.3327346748         2.4624135543        -0.1389585076
        1.0503746000         1.3378393285         2.4649654318        -0.0059838592
        1.0554039000         1.3327346748         2.4598616769        -0.1389585076
        1.0603942000         1.3378393285         2.4624135543        -0.0059838592
        1.0653982000         1.3378393285         2.4649654318        -0.0059838592
        1.0703873000         1.3301823480         2.4598616769        -0.2054458319
        1.0753954000         1.3429439823         2.4700691867         0.1269907893
        1.0803953000         1.3327346748         2.4598616769        -0.1389585076
        1.0853862000         1.3378393285         2.4598616769        -0.0059838592
        1.0903975000         1.3429439823         2.4700691867         0.1269907893
        1.0954028000         1.3327346748         2.4573097994        -0.1389585076
        1.1004221000         1.3378393285         2.4649654318        -0.0059838592
        1.1054182000         1.3352870017         2.4649654318        -0.0724711834
        1.1104049000         1.3378393285         2.4649654318        -0.0059838592
        1.1154971000         1.3429439823         2.4700691867         0.1269907893
        1.1205340000         1.3429439823         2.4700691867         0.1269907893
        1.1254803000         1.3454963091         2.4726210642         0.1934781135
        1.1304176000         1.3352870017         2.4649654318        -0.0724711834
        1.1354040000         1.3454963091         2.4726210642         0.1934781135
        1.1403777000         1.3429439823         2.4726210642         0.1269907893
        1.1453950000         1.3378393285         2.4649654318        -0.0059838592
        1.1503966000         1.3327346748         2.4598616769        -0.1389585076
        1.1555759000         1.3378393285         2.4598616769        -0.0059838592
        1.1604164000         1.3301823480         2.4598616769        -0.2054458319
        1.1654119000         1.3327346748         2.4598616769        -0.1389585076
        1.1704046000         1.3352870017         2.4649654318        -0.0724711834
        1.1754315000         1.3403916554         2.4700691867         0.0605034650
        1.1804079000         1.3352870017         2.4649654318        -0.0724711834
        1.1854126000         1.3301823480         2.4598616769        -0.2054458319
        1.1903954000         1.3327346748         2.4598616769        -0.1389585076
        1.1954137000         1.3352870017         2.4649654318        -0.0724711834
        1.2004233000         1.3378393285         2.4649654318        -0.0059838592
        1.2054565000         1.3378393285         2.4700691867        -0.0059838592
        1.2104066000         1.3378393285         2.4649654318        -0.0059838592
        1.2153860000         1.3352870017         2.4649654318        -0.0724711834
        1.2203945000         1.3301823480         2.4573097994        -0.2054458319
        1.2254019000         1.3378393285         2.4598616769        -0.0059838592
        1.2303871000         1.3378393285         2.4649654318        -0.0059838592
        1.2354250000         1.3378393285         2.4598616769        -0.0059838592
        1.2403884000         1.3378393285         2.4649654318        -0.0059838592
        1.2453848000         1.3327346748         2.4598616769        -0.1389585076
        1.2503998000         1.3378393285         2.4649654318        -0.0059838592
        1.2554278000         1.3454963091         2.4700691867         0.1934781135
        1.2604849000         1.3454963091         2.4726210642         0.1934781135
        1.2654033000         1.3378393285         2.4624135543        -0.0059838592
        1.2703878000         1.3327346748         2.4598616769        -0.1389585076
        1.2753967000         1.3378393285         2.4649654318        -0.0059838592
        1.2804009000         1.3429439823         2.4700691867         0.1269907893
        1.2853907000         1.3454963091         2.4649654318         0.1934781135
        1.2903982000         1.3429439823         2.4675173092         0.1269907893
        1.2953780000         1.3378393285         2.4649654318        -0.0059838592
