% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338950V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.7904481000       519.2037808131         3.3253237561         1.6747464736         2.8145726437       501.1893774134       500.2195660481        -1.1893774134         1.3917226017
        0.7954619000       491.6140668009         3.2897985418         1.6875081079         2.8554026830       520.2365927599       505.2366212912       -20.2365927599         1.3917226017
        0.8004846000       515.0213671574         3.3198796752         1.6747464736         2.8885770900       501.1893774134       507.8549499400        -1.1893774134         1.3866202076
        0.8054725000       514.7891971182         3.3195780964         1.6747464736         2.9191996195       501.1893774134       504.6680434160        -1.1893774134         1.4019273900
        0.8104890000       487.1994831059         3.2841967176         1.6875081079         2.9600296588       520.2365927599       507.5582173614       -20.2365927599         1.3866202076
        0.8155527000       499.6637658732         3.3000705784         1.6798511273         2.9957559433       508.8082635520       510.8879071558        -8.8082635520         1.3993761929
        0.8204607000       525.3019103761         3.3333002068         1.6670894930         3.0238265953       489.7610482055       505.3402250855        10.2389517945         1.3993761929
        0.8254850000       483.5285141264         3.2795552241         1.6875081079         3.0697603896       520.2365927599       505.1769946125       -20.2365927599         1.3993761929
        0.8304485000       506.9358144829         3.3094153565         1.6747464736         3.0978310416       501.1893774134       507.8238316379        -1.1893774134         1.4095809812
        0.8354738000       490.2891180599         3.2881149432         1.6824034542         3.1310054486       512.6177066213       507.3838278747       -12.6177066213         1.3942737988
        0.8404717000       504.2406302581         3.3059446789         1.6747464736         3.1641798556       501.1893774134       507.1541962675        -1.1893774134         1.4095809812
        0.8454439000       504.0084602189         3.3056461094         1.6747464736         3.2050098949       501.1893774134       504.3023301983        -1.1893774134         1.3891714046
        0.8504830000       492.8332725904         3.2913495444         1.6798511273         3.2305286695       508.8082635520       504.6353322656        -8.8082635520         1.4070297842
