% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339728V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.2604532000       489.0673091863         3.2865641728         1.6696418199         4.3941847908       492.4086111386       505.5928268019        -5.5928268019         1.3968249959
        0.2654478000       491.1756706985         3.2892412550         1.6798511273         4.4299110752       507.6463834159       502.9319623526        -2.9319623526         1.4019273900
        0.2704273000       487.2534995690         3.2842651278         1.6824034542         4.4630854822       511.4558264852       506.0966700569        -6.0966700569         1.3942737988
        0.2754748000       475.4955524453         3.2694506425         1.7028220690         4.5064673990       541.9313710396       515.9443592394       -15.9443592394         1.3942737988
        0.2804636000       472.4960255618         3.2656956303         1.6696418199         4.5345380510       492.4086111386       516.5303515337       -16.5303515337         1.3917226017
        0.2854545000       475.7435873707         3.2697615856         1.6875081079         4.5779199678       519.0747126238       511.3721231443       -11.3721231443         1.3942737988
        0.2904388000       466.9921434328         3.2588305875         1.6951650884         4.6110943748       530.5030418317       517.7868671064       -17.7868671064         1.3840690105
        0.2954652000       471.7207489635         3.2647266634         1.6594325125         4.6468206592       477.1708388614       511.1172055848       -11.1172055848         1.3968249959
        0.3004565000       482.9547627104         3.2788311459         1.6721941467         4.6799950662       496.2180542079       499.4403316419         0.5596683581         1.3866202076
        0.3054849000       487.7483889230         3.2848920427         1.6645371662         4.7131694732       484.7897250000       495.1676895968         4.8323104032         1.3968249959
        0.3106204000       489.9161467791         3.2876413729         1.6747464736         4.7463438801       500.0274972773       493.8485343250         6.1514656750         1.4095809812
        0.3155177000       488.5708632782         3.2859345467         1.6721941467         4.7846220420       496.2180542079       495.8921108976         4.1078891024         1.3968249959
        0.3204449000       486.9971449297         3.2839404919         1.6772988005         4.8203483265       503.8369403466       497.8692988706         2.1307011294         1.4044785871
        0.3254354000       483.1615711362         3.2790920974         1.6798511273         4.8611783658       507.6463834159       501.6331893597        -1.6331893597         1.3942737988
        0.3304460000       484.7710923950         3.2811246241         1.6670894930         4.8841452629       488.5991680693       499.9548098937         0.0451901063         1.3942737988
        0.3354286000       489.7599980105         3.2874431541         1.6696418199         4.9275271797       492.4086111386       495.4361883636         4.5638116364         1.4044785871
        0.3404374000       491.0255585560         3.2890504836         1.6721941467         4.9607015867       496.2180542079       494.8993348359         5.1006651641         1.3917226017
        0.3454416000       488.0709035244         3.2853007459         1.6798511273         4.9938759937       507.6463834159       498.2618582705         1.7381417295         1.4044785871
        0.3504091000       485.3884434673         3.2819049918         1.6747464736         5.0066353810       500.0274972773       500.9273855555        -0.9273855555         1.4095809812
        0.3554436000       482.7136210560         3.2785269328         1.6824034542         5.0066353810       511.4558264852       503.2291606197        -3.2291606197         1.4044785871
