% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338069V  K_gimbal=26.049690  samples=6753

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
        8.1358525000      -140.9149151330         2.0843010172         1.3582579434         4.2997653248         0.5259147346        -0.5259147346         1.3534546456
        8.1407896000      -107.5598929988         2.1311701551         1.3352870017         4.2844540601        -0.0724711834         0.0724711834         1.3560058426
        8.1459490000      -127.9484822581         2.1021578965         1.3480486360         4.2793503051         0.2599654377        -0.2599654377         1.3636594339
        8.1506098000      -121.7464055763         2.1108577068         1.3429439823         4.2691427953         0.1269907893        -0.1269907893         1.3891714046
        8.1557637000      -127.0206542280         2.1034526701         1.3454963091         4.2589352855         0.1934781135        -0.1934781135         1.3483522514
        8.1607887000      -116.0560032497         2.1189347069         1.3378393285         4.2385202658        -0.0059838592         0.0059838592         1.3611082368
        8.1658994000      -124.4059876642         2.1071140478         1.3429439823         4.2283127560         0.1269907893        -0.1269907893         1.3560058426
        8.1704930000      -112.8790571747         2.1234847999         1.3352870017         4.2257608785        -0.0724711834         0.0724711834         1.3585570397
        8.1758426000      -124.8670568634         2.1064670384         1.3429439823         4.2104496138         0.1269907893        -0.1269907893         1.3483522514
        8.1806247000      -121.7407159445         2.1108657368         1.3403916554         4.2002421039         0.0605034650        -0.0605034650         1.3611082368
        8.1856728000      -118.0520955144         2.1160908894         1.3378393285         4.1900345941        -0.0059838592         0.0059838592         1.3483522514
        8.1905241000      -134.8026694996         2.0926642084         1.3480486360         4.1772752068         0.2599654377        -0.2599654377         1.3483522514
        8.1955782000      -107.5991188912         2.1311131672         1.3301823480         4.1670676969        -0.2054458319         0.2054458319         1.3585570397
        8.2006821000      -135.2637386988         2.0920300134         1.3480486360         4.1594120646         0.2599654377        -0.2599654377         1.3560058426
        8.2054953000      -120.6610724463         2.1123911237         1.3378393285         4.1441007998        -0.0059838592         0.0059838592         1.3560058426
        8.2108164000       -95.4086985785         2.1490546296         1.3225253674         4.1262376576        -0.4049078045         0.4049078045         1.3509034485
        8.2154998000      -138.1876589937         2.0880209150         1.3506009628         4.1160301478         0.3264527620        -0.3264527620         1.3483522514
        8.2204856000      -153.5493357495         2.0673045732         1.3582579434         4.1160301478         0.5259147346        -0.5259147346         1.3432498573
        8.2254381000      -145.3960823272         2.0782289137         1.3506009628         4.0905113732         0.3264527620        -0.3264527620         1.3304938719
        8.2304332000      -198.5604121507         2.0095028909         1.3812288851         4.0930632506         1.1243006527        -1.1243006527         1.3253914777
        8.2355205000      -174.4662004026         2.0399536556         1.3608102703         4.0726482310         0.5924020589        -0.5924020589         1.3177378865
        8.2406455000      -179.4761108474         2.0335353442         1.3608102703         4.0624407211         0.5924020589        -0.5924020589         1.3100842953
        8.2457198000      -192.8866108627         2.0165823096         1.3659149240         4.0445775789         0.7253767073        -0.7253767073         1.3253914777
        8.2517148000      -165.4187220474         2.0516705731         1.3454963091         4.0369219465         0.1934781135        -0.1934781135         1.3126354923
        8.2557492000      -200.6573137074         2.0068996764         1.3659149240         4.0216106818         0.7253767073        -0.7253767073         1.3202890836
        8.2608081000      -152.1879509656         2.0691178491         1.3327346748         4.0011956621        -0.1389585076         0.1389585076         1.3202890836
        8.2658028000      -188.8154398550         2.0216952860         1.3557056165         3.9909881523         0.4594274104        -0.4594274104         1.3304938719
        8.2707696000      -133.8966642831         2.0939120134         1.3199730405         3.9731250101        -0.4713951288         0.4713951288         1.3253914777
        8.2757520000      -188.7142295429         2.0218227597         1.3557056165         3.9705731326         0.4594274104        -0.4594274104         1.3330450690
        8.2813965000      -133.7954539711         2.0940515390         1.3199730405         3.9476062355        -0.4713951288         0.4713951288         1.3279426748
        8.2857324000      -150.8103661632         2.0709570589         1.3327346748         3.9348468482        -0.1389585076         0.1389585076         1.3304938719
        8.2908339000      -149.6352019848         2.0725295125         1.3327346748         3.9195355834        -0.1389585076         0.1389585076         1.3355962660
        8.2963116000      -169.4615117329         2.0464144046         1.3454963091         3.9093280736         0.1934781135        -0.1934781135         1.3279426748
        8.3009236000      -187.8989242517         2.0228502846         1.3557056165         3.8965686863         0.4594274104        -0.4594274104         1.3228402807
        8.3056720000      -162.3822121770         2.0556409616         1.3378393285         3.8761536666        -0.0059838592         0.0059838592         1.3151866894
        8.3105850000      -191.7336705181         2.0180274113         1.3557056165         3.8608424019         0.4594274104        -0.4594274104         1.3228402807
