% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338745V  K_gimbal=26.049690  samples=4545

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.4804388000        31.4676696172         2.7604107976         1.3735719045         3.6184140433        51.9798506807        -1.9798506807         1.3968249959
        0.4854386000        31.1754406869         2.7600624468         1.3735719045         3.6158621658        51.9798506807        -1.9798506807         1.3993761929
        0.4904273000        35.0835065420         2.7647141971         1.3710195777         3.6260696756        48.1704076114         1.8295923886         1.3891714046
        0.4954290000        22.7526727670         2.7499856558         1.3786765582         3.6260696756        59.5987368193        -9.5987368193         1.3968249959
        0.5004554000        33.9367691703         2.7633507690         1.3710195777         3.6311734306        48.1704076114         1.8295923886         1.4044785871
        0.5054436000        17.4056406100         2.7158943671         1.3812288851         3.6362771855        63.4081798886       -13.4081798886         1.3840690105
        0.5104548000        36.4280470727         2.7663112070         1.3684672508         3.6439328179        44.3609645421         5.6390354579         1.3891714046
        0.5154292000        33.0600823795         2.7623075685         1.3710195777         3.6362771855        48.1704076114         1.8295923886         1.3968249959
        0.5204222000        29.1298381752         2.7576216462         1.3735719045         3.6464846953        51.9798506807        -1.9798506807         1.3968249959
        0.5254329000        45.6387883862         2.7772061686         1.3633625971         3.6439328179        36.7420784035        13.2579215965         1.3993761929
        0.5304395000        43.3953827154         2.7745597087         1.3659149240         3.6490365728        40.5515214728         9.4484785272         1.3993761929
        0.5354467000        44.7899923187         2.7762054092         1.3659149240         3.6490365728        40.5515214728         9.4484785272         1.3968249959
        0.5404555000        33.5837175661         2.7629307496         1.3735719045         3.6541403277        51.9798506807        -1.9798506807         1.3917226017
        0.5454485000        37.4917834212         2.7675734712         1.3710195777         3.6617959601        48.1704076114         1.8295923886         1.3942737988
        0.5504591000        33.5615392169         2.7629043603         1.3735719045         3.6668997150        51.9798506807        -1.9798506807         1.3942737988
        0.5554403000        33.2693102866         2.7625566035         1.3735719045         3.6694515924        51.9798506807        -1.9798506807         1.3942737988
        0.5604453000        41.3776709270         2.7721755927         1.3684672508         3.6668997150        44.3609645421         5.6390354579         1.3917226017
        0.5654358000        25.4088218779         2.7531711029         1.3786765582         3.6771072248        59.5987368193        -9.5987368193         1.3917226017
        0.5704407000        11.3911495694         2.6445315790         1.3863335388         3.6873147347        71.0270660272       -21.0270660272         1.3993761929
        0.5754306000        37.6895865802         2.7678080732         1.3684672508         3.6796591023        44.3609645421         5.6390354579         1.3968249959
        0.5804387000        34.3216218871         2.7638084851         1.3710195777         3.6822109797        48.1704076114         1.8295923886         1.3968249959
        0.5854208000        21.9907881121         2.7490706168         1.3786765582         3.6898666121        59.5987368193        -9.5987368193         1.3942737988
        0.5904649000        28.9745897301         2.7574362363         1.3735719045         3.6949703670        51.9798506807        -1.9798506807         1.3917226017
        0.5954425000        32.8826555852         2.7620963519         1.3710195777         3.6975222445        48.1704076114         1.8295923886         1.3917226017
        0.6004544000        20.5518218102         2.7473407546         1.3786765582         3.7102816318        59.5987368193        -9.5987368193         1.3993761929
        0.6054408000        40.1365077841         2.7707071866         1.3659149240         3.7000741219        40.5515214728         9.4484785272         1.3866202076
        0.6104504000        33.1305278168         2.7623914214         1.3710195777         3.7077297543        48.1704076114         1.8295923886         1.3840690105
        0.6154356000        33.4005783978         2.7627128247         1.3710195777         3.7128335092        48.1704076114         1.8295923886         1.4044785871
        0.6204666000        16.8694498375         2.7095323877         1.3812288851         3.7230410191        63.4081798886       -13.4081798886         1.3993761929
        0.6254328000        48.4927406561         2.7805663689         1.3608102703         3.7128335092        32.9326353342        17.0673646658         1.3993761929
        0.6304790000        25.8101405700         2.7536517705         1.3761242314         3.7281447740        55.7892937500        -5.7892937500         1.3993761929
        0.6354457000        29.1559269139         2.7576528011         1.3735719045         3.7204891416        51.9798506807        -1.9798506807         1.3968249959
        0.6404535000        24.6634031983         2.7522778672         1.3761242314         3.7306966515        55.7892937500        -5.7892937500         1.3917226017
        0.6454356000        32.2094843275         2.7612947019         1.3710195777         3.7332485289        48.1704076114         1.8295923886         1.3942737988
        0.6504446000        36.6798296937         2.7666100770         1.3684672508         3.7358004064        44.3609645421         5.6390354579         1.3942737988
        0.6554609000        37.5121597859         2.7675976400         1.3684672508         3.7409041613        44.3609645421         5.6390354579         1.3917226017
        0.6604395000        21.5433107368         2.7485329086         1.3786765582         3.7511116711        59.5987368193        -9.5987368193         1.3866202076
        0.6654303000        28.5271123548         2.7569016900         1.3735719045         3.7485597937        51.9798506807        -1.9798506807         1.4044785871
        0.6704393000        36.6354729951         2.7665574293         1.3684672508         3.7511116711        44.3609645421         5.6390354579         1.3968249959
        0.6754431000        16.4663291608         2.7047493037         1.3812288851         3.7613191810        63.4081798886       -13.4081798886         1.3968249959
        0.6804337000        27.0881460528         2.7551813835         1.3735719045         3.7562154260        51.9798506807        -1.9798506807         1.4019273900
        0.6854424000        35.1965066932         2.7648484820         1.3684672508         3.7613191810        44.3609645421         5.6390354579         1.3993761929
        0.6904554000        23.4279524294         2.7507961824         1.3761242314         3.7689748133        55.7892937500        -5.7892937500         1.3917226017
        0.6954433000        22.5734439880         2.7497704521         1.3761242314         3.7715266908        55.7892937500        -5.7892937500         1.3993761929
        0.7004225000        38.5201146877         2.7687927100         1.3659149240         3.7715266908        40.5515214728         9.4484785272         1.4019273900
        0.7054411000        31.5141347205         2.7604661785         1.3710195777         3.7715266908        48.1704076114         1.8295923886         1.3968249959
        0.7104294000        27.5838905161         2.7557742869         1.3735719045         3.7817342006        51.9798506807        -1.9798506807         1.3917226017
        0.7154495000        18.8910720153         2.7335192212         1.3786765582         3.7842860781        59.5987368193        -9.5987368193         1.3840690105
        0.7204386000        42.6760527745         2.7737101790         1.3633625971         3.7868379556        36.7420784035        13.2579215965         1.3993761929
        0.7254431000        36.2323523184         2.7660788728         1.3684672508         3.7893898330        44.3609645421         5.6390354579         1.3917226017
        0.7304326000        20.2635032693         2.7469938925         1.3786765582         3.7944935879        59.5987368193        -9.5987368193         1.3993761929
        0.7354455000        39.8481892432         2.7703658764         1.3659149240         3.7970454654        40.5515214728         9.4484785272         1.3993761929
        0.7404575000        41.2427988465         2.7720160958         1.3659149240         3.7944935879        40.5515214728         9.4484785272         1.3993761929
        0.7454617000        38.4371136646         2.7686943368         1.3684672508         3.7995973429        44.3609645421         5.6390354579         1.4044785871
        0.7504405000        39.2694437567         2.7696805273         1.3684672508         3.8021492203        44.3609645421         5.6390354579         1.3917226017
        0.7554847000        35.9014790635         2.7656859682         1.3710195777         3.8098048527        48.1704076114         1.8295923886         1.3993761929
        0.7604742000        36.1715296445         2.7660066550         1.3710195777         3.8047010978        48.1704076114         1.8295923886         1.4044785871
        0.7654532000        44.8421697960         2.7762669469         1.3659149240         3.8098048527        40.5515214728         9.4484785272         1.3917226017
        0.7704346000        42.0364846141         2.7729544520         1.3684672508         3.8123567301        44.3609645421         5.6390354579         1.3968249959
        0.7754700000        26.0676355650         2.7539600920         1.3786765582         3.8251161174        59.5987368193        -9.5987368193         1.3993761929
        0.7804298000        41.4520267536         2.7722635172         1.3684672508         3.8174604851        44.3609645421         5.6390354579         1.3917226017
        0.7854390000        25.4831777045         2.7532601726         1.3786765582         3.8225642400        59.5987368193        -9.5987368193         1.3917226017
        0.7904455000        28.2666845372         2.7565904974         1.3761242314         3.8327717498        55.7892937500        -5.7892937500         1.3968249959
        0.7954305000        48.4136500223         2.7804733458         1.3633625971         3.8225642400        36.7420784035        13.2579215965         1.4044785871
        0.8004377000        50.3705391368         2.7827733505         1.3633625971         3.8251161174        36.7420784035        13.2579215965         1.3993761929
        0.8054356000        27.1256595395         2.7552262577         1.3786765582         3.8429792597        59.5987368193        -9.5987368193         1.3968249959
        0.8104337000        38.3097559428         2.7685433793         1.3710195777         3.8378755047        48.1704076114         1.8295923886         1.4044785871
        0.8154463000        30.1792169531         2.7588742727         1.3761242314         3.8429792597        55.7892937500        -5.7892937500         1.3917226017
        0.8204279000        29.3247085117         2.7578543420         1.3761242314         3.8506348920        55.7892937500        -5.7892937500         1.3993761929
        0.8254383000        32.6704948555         2.7618437464         1.3735719045         3.8506348920        51.9798506807        -1.9798506807         1.4044785871
        0.8304490000        53.3797398518         2.7863037085         1.3608102703         3.8455311371        32.9326353342        17.0673646658         1.3993761929
        0.8354360000        30.6971397657         2.7594921093         1.3761242314         3.8633942793        55.7892937500        -5.7892937500         1.3993761929
        0.8404749000        17.2417469684         2.7139497459         1.3837812120         3.8659461568        67.2176229579       -17.2176229579         1.3968249959
