% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338516V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.5204489000       513.8932281464         3.3184148880         1.6696418199         4.8637302433       494.2180965966        -1.0095024134         5.7819034034         1.3866202076
        0.5254542000       527.3475301175         3.3359863214         1.6619848393         4.8918008953       482.7897673886        -1.0095024134        17.2102326114         1.3942737988
        0.5304386000       504.6860175545         3.3065176235         1.6772988005         4.9326309346       505.6464258045        -1.0095024134        -5.6464258045         1.3917226017
        0.5354481000       512.2531862067         3.3162882018         1.6721941467         4.9607015867       498.0275396659        -1.0095024134         1.9724603341         1.3968249959
        0.5404617000       499.9434399548         3.3004288156         1.6798511273         5.0015316260       509.4558688738        -1.0095024134        -9.4558688738         1.3942737988
        0.5454437000       511.1486238811         3.3148577235         1.6721941467         5.0040835035       498.0275396659        -1.0095024134         1.9724603341         1.3942737988
        0.5504594000       498.8388776292         3.2990145035         1.6798511273         5.0040835035       509.4558688738        -1.0095024134        -9.4558688738         1.3942737988
        0.5554522000       501.6434719849         3.3026083746         1.6772988005         5.0117391359       505.6464258045        -1.0095024134        -5.6464258045         1.4019273900
        0.5604528000       492.4094614960         3.2908102038         1.6824034542         1.1073666236       513.2653119431        -1.0095024134       -13.2653119431         1.4019273900
        0.5654312000       503.0523659111         3.3044172489         1.6747464736         1.1124703785       501.8369827352        -1.0095024134        -1.8369827352         1.3968249959
        0.5704564000       485.9800453627         3.2826532116         1.6849557810         0.0075074388       517.0747550124        -1.0095024134       -17.0747550124         1.3917226017
        0.5754579000       500.2609650520         3.3008356475         1.6747464736         0.0075074388       501.8369827352        -1.0095024134        -1.8369827352         1.3917226017
        0.5804346000       487.3889392889         3.2844366724         1.6824034542        -0.0001481936       513.2653119431        -1.0095024134       -13.2653119431         1.4019273900
        0.5854497000       489.6312541334         3.2872797446         1.6798511273         0.0049555613       509.4558688738        -1.0095024134        -9.4558688738         1.3917226017
        0.5905172000       488.2355537038         3.2855094423         1.6798511273         0.0406818457       509.4558688738        -1.0095024134        -9.4558688738         1.3968249959
        0.5954461000       495.2404428449         3.2944168136         1.6747464736         0.0662006203       501.8369827352        -1.0095024134        -1.8369827352         1.3942737988
        0.6004292000       499.1695962230         3.2994378152         1.6721941467         0.1044787822       498.0275396659        -1.0095024134         1.9724603341         1.3993761929
        0.6054373000       495.2604395417         3.2944423218         1.6747464736         0.1325494343       501.8369827352        -1.0095024134        -1.8369827352         1.4044785871
        0.6104391000       515.9907720610         3.3211396011         1.6619848393         0.1733794736       482.7897673886        -1.0095024134        17.2102326114         1.4070297842
        0.6154564000       484.9286699274         3.2813237707         1.6824034542         0.2142095129       513.2653119431        -1.0095024134       -13.2653119431         1.4019273900
        0.6204372000       499.7718691278         3.3002090380         1.6721941467         0.2397282875       498.0275396659        -1.0095024134         1.9724603341         1.3968249959
        0.6254549000       495.8627124465         3.2952108091         1.6747464736         0.2780064494       501.8369827352        -1.0095024134        -1.8369827352         1.3993761929
        0.6304281000       508.1924553952         3.3110365342         1.6670894930         0.3111808564       490.4086535272        -1.0095024134         9.5913464728         1.4044785871
        0.6354482000       476.0057942392         3.2700903676         1.6875081079         0.3520108957       520.8841980817        -1.0095024134       -20.8841980817         1.3968249959
        0.6404280000       485.5241396320         3.2820765768         1.6798511273         0.3800815478       509.4558688738        -1.0095024134        -9.4558688738         1.4070297842
        0.6454429000       500.9296183436         3.3016927518         1.6696418199         0.4132559548       494.2180965966        -1.0095024134         5.7819034034         1.4019273900
        0.6504310000       497.5827411735         3.2974078407         1.6721941467         0.4413266068       498.0275396659        -1.0095024134         1.9724603341         1.3993761929
        0.6554325000       514.6750584187         3.3194298594         1.6619848393         0.4745010138       482.7897673886        -1.0095024134        17.2102326114         1.3942737988
        0.6604416000       483.6129562851         3.2796618216         1.6824034542         0.5178829306       513.2653119431        -1.0095024134       -13.2653119431         1.3891714046
        0.6654567000       502.6564502708         3.3039086978         1.6696418199         0.5561610925       494.2180965966        -1.0095024134         5.7819034034         1.4044785871
        0.6704351000       503.5098678860         3.3050051378         1.6696418199         0.5842317445       494.2180965966        -1.0095024134         5.7819034034         1.3968249959
        0.6754424000       508.5635802865         3.3115156797         1.6670894930         0.6174061515       490.4086535272        -1.0095024134         9.5913464728         1.3917226017
        0.6804297000       472.1766243452         3.2652963537         1.6900604347         0.6582361908       524.6936411510        -1.0095024134       -24.6936411510         1.3993761929
        0.6854662000       514.7350485092         3.3195077692         1.6619848393         0.6888587203       482.7897673886        -1.0095024134        17.2102326114         1.3968249959
        0.6904490000       529.8761890139         3.3393140132         1.6543278587         0.7220331273       471.3614381807        -1.0095024134        28.6385618193         1.4044785871
        0.6954315000       521.5023993403         3.3283249554         1.6619848393         0.7450000244       482.7897673886        -1.0095024134        17.2102326114         1.4044785871
        0.7004444000       528.2429502744         3.3371637613         1.6594325125         0.7832781863       478.9803243193        -1.0095024134        21.0196756807         1.4070297842
        0.7054560000       518.7446015785         3.3247250100         1.6670894930         0.8139007158       490.4086535272        -1.0095024134         9.5913464728         1.3968249959
        0.7104397000       524.3605934902         3.3320659235         1.6645371662         0.8521788777       486.5992104579        -1.0095024134        13.4007895421         1.3993761929
        0.7155170000       513.7376857719         3.3182130518         1.6721941467         0.8802495297       498.0275396659        -1.0095024134         1.9724603341         1.3866202076
        0.7204363000       526.6297082318         3.3350431460         1.6645371662         0.9159758142       486.5992104579        -1.0095024134        13.4007895421         1.3840690105
        0.7254679000       503.4059161576         3.3048715383         1.6798511273         0.9517020986       509.4558688738        -1.0095024134        -9.4558688738         1.3942737988
        0.7304296000       514.6111000839         3.3193468007         1.6721941467         0.9848765056       498.0275396659        -1.0095024134         1.9724603341         1.4019273900
        0.7354463000       489.7004694761         3.2873675946         1.6875081079         1.0257065449       520.8841980817        -1.0095024134       -20.8841980817         1.3942737988
        0.7404402000       520.2202887954         3.3266501566         1.6670894930         1.0435696871       490.4086535272        -1.0095024134         9.5913464728         1.4044785871
        0.7454506000       500.6345119953         3.3013144090         1.6798511273         1.0843997265       509.4558688738        -1.0095024134        -9.4558688738         1.4070297842
        0.7504437000       507.6394011363         3.3103228127         1.6747464736         1.1175741334       501.8369827352        -1.0095024134        -1.8369827352         1.4070297842
        0.7554487000       511.5685545144         3.3154013865         1.6721941467         1.1507485404       498.0275396659        -1.0095024134         1.9724603341         1.4070297842
        0.7604405000       507.6593978331         3.3103486123         1.6747464736         1.1762673150       501.8369827352        -1.0095024134        -1.8369827352         1.3993761929
        0.7654252000       532.5900251377         3.3428944267         1.6594325125         1.2094417220       478.9803243193        -1.0095024134        21.0196756807         1.3993761929
        0.7704298000       510.4907920859         3.3140064900         1.6747464736         1.2400642515       501.8369827352        -1.0095024134        -1.8369827352         1.4044785871
        0.7754431000       518.6202402493         3.3245628940         1.6696418199         1.2783424134       494.2180965966        -1.0095024134         5.7819034034         1.3993761929
        0.7804689000       502.6724787233         3.3039292826         1.6798511273         1.3115168203       509.4558688738        -1.0095024134        -9.4558688738         1.3866202076
        0.7854318000       513.8776626497         3.3183946885         1.6721941467         1.3472431047       498.0275396659        -1.0095024134         1.9724603341         1.4044785871
        0.7904449000       505.7682111831         3.3079107346         1.6772988005         1.3804175117       505.6464258045        -1.0095024134        -5.6464258045         1.4044785871
        0.7954439000       525.9362641912         3.3341326175         1.6645371662         1.4084881638       486.5992104579        -1.0095024134        13.4007895421         1.4019273900
        0.8004411000       511.1130616876         3.3148116927         1.6747464736         1.4391106933       501.8369827352        -1.0095024134        -1.8369827352         1.4019273900
        0.8054422000       531.8433942069         3.3419084471         1.6619848393         1.4748369777       482.7897673886        -1.0095024134        17.2102326114         1.3993761929
        0.8104351000       517.5824712145         3.3232108126         1.6721941467         1.5080113847       498.0275396659        -1.0095024134         1.9724603341         1.3866202076
        0.8154419000       509.4730197479         3.3126905214         1.6772988005         1.5411857916       505.6464258045        -1.0095024134        -5.6464258045         1.3866202076
        0.8204295000       512.8398936148         3.3170486259         1.6747464736         1.5820158310       501.8369827352        -1.0095024134        -1.8369827352         1.3968249959
        0.8254302000       512.5687522076         3.3166971511         1.6747464736         1.6126383605       501.8369827352        -1.0095024134        -1.8369827352         1.3993761929
        0.8304455000       499.6967264445         3.3001127931         1.6824034542         1.6483646449       513.2653119431        -1.0095024134       -13.2653119431         1.3993761929
        0.8354316000       497.7387465038         3.2976072796         1.6824034542         1.6738834195       513.2653119431        -1.0095024134       -13.2653119431         1.3917226017
