% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339600V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.8504341000        82.3294207675         2.8198961762         1.4067521537         5.0117391359       100.2264471535        -0.2264471535         1.3993761929
        0.8554201000        94.8968811839         2.8342915321         1.3990951731         5.0040835035        88.7981179455        11.2018820545         1.4044785871
        0.8604287000       100.7505905633         2.8409625656         1.3965428462         5.0040835035        84.9886748762        15.0113251238         1.4044785871
        0.8654433000        98.7659898832         2.8387031770         1.3990951731         5.0040835035        88.7981179455        11.2018820545         1.4044785871
        0.8704164000        92.0188149067         2.8310038954         1.4041998268         4.9989797486        96.4170040842         3.5829959158         1.3993761929
        0.8754377000        96.7479652637         2.8364033182         1.4016475000         5.0040835035        92.6075610149         7.3924389851         1.4044785871
        0.8804391000        93.6388055612         2.8328550622         1.4041998268         5.0117391359        96.4170040842         3.5829959158         1.3968249959
        0.8854475000        73.1661872064         2.8093322279         1.4169614611         4.9964278711       115.4642194307       -15.4642194307         1.3917226017
        0.8904332000        75.0839400074         2.8115481282         1.4144091342         1.1048147461       111.6547763614       -11.6547763614         1.3917226017
        0.8954423000        94.3651514608         2.8336845238         1.4016475000         1.0971591138        92.6075610149         7.3924389851         1.3917226017
        0.9004284000        78.6551074025         2.8156673818         1.4118568074         1.1073666236       107.8453332921        -7.8453332921         1.3815178134
        0.9054392000       102.6988931523         2.8431783773         1.3965428462         1.1048147461        84.9886748762        15.0113251238         1.3942737988
        0.9104290000        96.5139976870         2.8361365152         1.4016475000         1.1073666236        92.6075610149         7.3924389851         1.3993761929
        0.9154377000        97.6051327699         2.8373804971         1.4016475000         1.1048147461        92.6075610149         7.3924389851         1.4044785871
        0.9204380000        90.2956782821         2.8290330325         1.4067521537         1.1124703785       100.2264471535        -0.2264471535         1.3942737988
        0.9254484000        77.6613699867         2.8145220490         1.4144091342         1.1175741334       111.6547763614       -11.6547763614         1.3968249959
        0.9304385000        75.9411075136         2.8125376880         1.4144091342         0.0049555613       111.6547763614       -11.6547763614         1.4044785871
        0.9354465000        78.4211398258         2.8153977855         1.4118568074         0.0049555613       107.8453332921        -7.8453332921         1.4044785871
        0.9404278000        98.2646307904         2.8381320283         1.3990951731        -0.0027000711        88.7981179455        11.2018820545         1.3968249959
        0.9454485000        99.9180453844         2.8400150306         1.3990951731        -0.0027000711        88.7981179455        11.2018820545         1.3993761929
        0.9504284000        88.9705756226         2.8275161257         1.4067521537        -0.0001481936       100.2264471535        -0.2264471535         1.3815178134
        0.9554653000        72.1359725419         2.8081407282         1.4169614611         0.0049555613       115.4642194307       -15.4642194307         1.3993761929
        0.9604439000        86.6546096988         2.8248621740         1.4067521537         0.0024036839       100.2264471535        -0.2264471535         1.4044785871
        0.9654462000        90.8214805446         2.8296346283         1.4041998268         0.0024036839        96.4170040842         3.5829959158         1.3968249959
        0.9704393000        95.5506309015         2.8350375951         1.4016475000        -0.0052519485        92.6075610149         7.3924389851         1.3968249959
        0.9755411000       105.0423555550         2.8458407053         1.3965428462        -0.0027000711        84.9886748762        15.0113251238         1.3891714046
        0.9804551000        82.0562809484         2.8195821409         1.4118568074         0.0024036839       107.8453332921        -7.8453332921         1.3968249959
        0.9854725000        76.6980032012         2.8134110463         1.4144091342        -0.0001481936       111.6547763614       -11.6547763614         1.3917226017
        0.9904289000        79.1780355134         2.8162698014         1.4118568074         0.0100593162       107.8453332921        -7.8453332921         1.3993761929
        0.9954354000        69.6194629809         2.8052269093         1.4169614611         0.0049555613       115.4642194307       -15.4642194307         1.3993761929
        1.0004529000        88.3383949231         2.8267920363         1.4041998268         0.0100593162        96.4170040842         3.5829959158         1.3993761929
        1.0054259000        84.6669557095         2.8225816059         1.4067521537         0.0024036839       100.2264471535        -0.2264471535         1.3968249959
        1.0104466000        80.4332369847         2.8177150226         1.4093044805         0.0075074388       104.0358902228        -4.0358902228         1.3866202076
        1.0154460000        67.2366491780         2.8024634639         1.4169614611         0.0177149486       115.4642194307       -15.4642194307         1.3866202076
        1.0204395000        81.7552863349         2.8192360205         1.4067521537         0.0151630711       100.2264471535        -0.2264471535         1.4019273900
        1.0254411000        77.5215676101         2.8143608631         1.4093044805         0.0228187035       104.0358902228        -4.0358902228         1.4044785871
        1.0304346000        43.3235058770         2.7744748432         1.4297230954         0.0279224584       134.5114347772       -34.5114347772         1.3993761929
        1.0354433000        50.8304506926         2.7833134179         1.4220661148         0.0279224584       123.0831055693       -23.0831055693         1.3993761929
        1.0404426000        26.4218757594         2.7543841460         1.4348277491         0.0355780908       142.1303209159       -42.1303209159         1.3968249959
        1.0454363000        53.8057354792         2.7868028555         1.4144091342         0.0534412330       111.6547763614       -11.6547763614         1.3942737988
        1.0504430000        56.2857677914         2.7897057136         1.4118568074         0.0559931105       107.8453332921        -7.8453332921         1.3942737988
        1.0554254000        76.1292587560         2.8127548285         1.3990951731         0.0662006203        88.7981179455        11.2018820545         1.3891714046
        1.0604433000        69.3820837794         2.8049518056         1.4041998268         0.0764081302        96.4170040842         3.5829959158         1.3891714046
        1.0654193000        65.7106445658         2.8006913954         1.4067521537         0.0764081302       100.2264471535        -0.2264471535         1.4019273900
        1.0704556000        65.6772206263         2.8006525616         1.4067521537         0.0866156400       100.2264471535        -0.2264471535         1.3891714046
        1.0754356000        74.0443862573         2.8103472932         1.4016475000         0.0866156400        92.6075610149         7.3924389851         1.4044785871
        1.0804310000        75.1355213402         2.8116076916         1.4016475000         0.0968231498        92.6075610149         7.3924389851         1.3917226017
        1.0854371000        67.8260668525         2.8031474407         1.4067521537         0.1019269048       100.2264471535        -0.2264471535         1.3917226017
        1.0904427000        76.1932324835         2.8128286531         1.4016475000         0.1070306597        92.6075610149         7.3924389851         1.3917226017
        1.0954313000        68.8837779958         2.8043741692         1.4067521537         0.1197900470       100.2264471535        -0.2264471535         1.3993761929
        1.1004396000        68.8503540563         2.8043354174         1.4067521537         0.1274456793       100.2264471535        -0.2264471535         1.3993761929
        1.1054460000        68.8169301168         2.8042966647         1.4067521537         0.1325494343       100.2264471535        -0.2264471535         1.3993761929
        1.1104546000        68.7835061772         2.8042579112         1.4067521537         0.1427569441       100.2264471535        -0.2264471535         1.3993761929
        1.1154192000        93.9518509495         2.8332125895         1.3914381925         0.1351013117        77.3697887376        22.6302112624         1.3993761929
        1.1204263000       109.8929884331         2.8513415691         1.3837812120         0.1427569441        65.9414595297        34.0585404703         1.3968249959
        1.1254412000       110.7197853090         2.8522779176         1.3863335388         0.1478606990        69.7509025990        30.2490974010         1.3993761929
        1.1304468000        98.3834183178         2.8382673648         1.3965428462         0.1555163314        84.9886748762        15.0113251238         1.3993761929
        1.1354345000        75.3973437113         2.8119100001         1.4118568074         0.1657238412       107.8453332921        -7.8453332921         1.3942737988
        1.1404496000        74.2393607494         2.8105725773         1.4118568074         0.1733794736       107.8453332921        -7.8453332921         1.3917226017
        1.1454293000        77.2816725727         2.8140842424         1.4093044805         0.1835869834       104.0358902228        -4.0358902228         1.3993761929
        1.1504347000        89.2868534779         2.8278782873         1.4016475000         0.1963463707        92.6075610149         7.3924389851         1.3993761929
