% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.336563V  K_gimbal=26.049690  samples=2001

Time[s]              OmegaU[deg/s]        Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Error[rad/s]        
        8.4054703000        35.1340686757         2.7647742846         1.3352870017         4.8433152236        -0.0332436621         0.0332436621
        8.4105308000        22.8143240755         2.7500596742         1.3429439823         4.8458671010         0.1662183106        -0.1662183106
        8.4154975000        29.8092148681         2.7584327311         1.3378393285         4.8484189785         0.0332436621        -0.0332436621
        8.4204725000        25.3277803272         2.7530740180         1.3403916554         4.8458671010         0.0997309863        -0.0997309863
        8.4255017000        16.0837714898         2.7002102028         1.3454963091         4.8560746109         0.2327056348        -0.2327056348
        8.4305238000        14.1157932006         2.6768598616         1.3454963091         4.8535227334         0.2327056348        -0.2327056348
        8.4354797000        28.9489940526         2.7574056657         1.3352870017         4.8509708560        -0.0332436621         0.0332436621
        8.4404953000        25.0298390229         2.7527170378         1.3378393285         4.8509708560         0.0332436621        -0.0332436621
        8.4455237000        16.3481096967         2.7033466130         1.3429439823         4.8509708560         0.1662183106        -0.1662183106
        8.4505178000        14.9424109187         2.6866677979         1.3429439823         4.8611783658         0.1662183106        -0.1662183106
        8.4554766000        17.7370069260         2.7198260754         1.3403916554         4.8586264883         0.0997309863        -0.0997309863
        8.4604871000        25.2941772299         2.7530337607         1.3352870017         4.8560746109        -0.0332436621         0.0332436621
        8.4655456000        21.3750222002         2.7483306323         1.3378393285         4.8535227334         0.0332436621        -0.0332436621
        8.4705949000        12.6932928740         2.6599816937         1.3429439823         4.8637302433         0.1662183106        -0.1662183106
        8.4755143000        15.4878888813         2.6931399712         1.3403916554         4.8560746109         0.0997309863        -0.0997309863
        8.4804962000        39.8462383263         2.7703635667         1.3250776943         4.8535227334        -0.2991929590         0.2991929590
        8.4855300000        29.7756117708         2.7583926242         1.3327346748         4.8586264883        -0.0997309863         0.0997309863
        8.4904829000        34.8193258229         2.7644002077         1.3301823480         4.8535227334        -0.1662183106         0.1662183106
        8.4955325000        32.0247298155         2.7610746090         1.3327346748         4.8586264883        -0.0997309863         0.0997309863
        8.5004582000        37.0684438676         2.7670712506         1.3301823480         4.8611783658        -0.1662183106         0.1662183106
        8.5055372000        21.6729635044         2.7486887263         1.3403916554         4.8662821207         0.0997309863        -0.0997309863
        8.5104909000         4.0283650964         2.5571710983         1.3506009628         4.8713858756         0.3656802832        -0.3656802832
        8.5155015000         5.1361225701         2.5703147976         1.3480486360         4.8739377531         0.2991929590        -0.2991929590
        8.5204998000        15.2067491257         2.6898042082         1.3403916554         4.8739377531         0.0997309863        -0.0997309863
        8.5262002000        18.5636246442         2.7296340117         1.3378393285         4.8713858756         0.0332436621        -0.0332436621
        8.5305200000         9.8818953180         2.6266240635         1.3429439823         4.8713858756         0.1662183106        -0.1662183106
        8.5355351000        25.2773756812         2.7530136317         1.3327346748         4.8739377531        -0.0997309863         0.0997309863
        8.5404882000        30.3210897333         2.7590435407         1.3301823480         4.8662821207        -0.1662183106         0.1662183106
        8.5455104000        19.1259041554         2.7363055378         1.3378393285         4.8713858756         0.0332436621        -0.0332436621
        8.5505041000        10.4441748292         2.6332955896         1.3429439823         4.8739377531         0.1662183106        -0.1662183106
        8.5559298000        21.6393604071         2.7486483435         1.3352870017         4.8713858756        -0.0332436621         0.0332436621
        8.5605339000        30.3210897333         2.7590435407         1.3301823480         4.8739377531        -0.1662183106         0.1662183106
        8.5655427000        10.7253145848         2.6366313526         1.3429439823         4.8713858756         0.1662183106        -0.1662183106
        8.5704712000        17.7202053774         2.7196267227         1.3378393285         4.8790415080         0.0332436621        -0.0332436621
        8.5757066000        17.4390656218         2.7162909596         1.3378393285         4.8764896306         0.0332436621        -0.0332436621
        8.5805284000        12.9576310809         2.6631181040         1.3403916554         4.8713858756         0.0997309863        -0.0997309863
        8.5855106000        24.7150961700         2.7523398291         1.3327346748         4.8739377531        -0.0997309863         0.0997309863
        8.5904825000        42.3596945780         2.7733364103         1.3225253674         4.8662821207        -0.3656802832         0.3656802832
        8.5957085000        16.0501683925         2.6998114973         1.3403916554         4.8713858756         0.0997309863        -0.0997309863
        8.6004528000         6.8061595551         2.5901300230         1.3454963091         4.8790415080         0.2327056348        -0.2327056348
        8.6054802000        21.6393604071         2.7486483435         1.3352870017         4.8815933855        -0.0332436621         0.0332436621
        8.6104613000        21.9205001627         2.7489861694         1.3352870017         4.8739377531        -0.0332436621         0.0332436621
        8.6155158000        13.8010503477         2.6731253931         1.3403916554         4.8739377531         0.0997309863        -0.0997309863
        8.6205131000        38.1593997927         2.7683651421         1.3250776943         4.8688339982        -0.2991929590         0.2991929590
        8.6255173000        53.2905419490         2.7861991741         1.3174207137         4.8815933855        -0.4986549317         0.4986549317
        8.6304649000        19.7049852152         2.7431764166         1.3403916554         4.8764896306         0.0997309863        -0.0997309863
        8.6355062000        31.4624503043         2.7604045766         1.3327346748         4.8713858756        -0.0997309863         0.0997309863
        8.6404696000        19.7049852152         2.7431764166         1.3403916554         4.8841452629         0.0997309863        -0.0997309863
        8.6455319000         2.0603868073         2.5338207571         1.3506009628         4.8866971404         0.3656802832        -0.3656802832
        8.6505362000        15.7690286369         2.6964757342         1.3403916554         4.8841452629         0.0997309863        -0.0997309863
        8.6555414000        31.7267885113         2.7607196099         1.3301823480         4.8866971404        -0.1662183106         0.1662183106
        8.6604976000        28.9321925040         2.7573855981         1.3327346748         4.8764896306        -0.0997309863         0.0997309863
        8.6654821000        25.5753169855         2.7533705372         1.3352870017         4.8764896306        -0.0332436621         0.0332436621
        8.6705437000        13.2555723852         2.6666532198         1.3429439823         4.8943527728         0.1662183106        -0.1662183106
        8.6755310000         7.6495788219         2.6001373121         1.3454963091         4.8943527728         0.2327056348        -0.2327056348
        8.6805427000        26.6830744592         2.7546967410         1.3327346748         4.8943527728        -0.0997309863         0.0997309863
        8.6855036000        35.9270832966         2.7657163763         1.3276300211         4.8892490178        -0.2327056348         0.2327056348
        8.6905247000        25.2941772299         2.7530337607         1.3352870017         4.8892490178        -0.0332436621         0.0332436621
        8.6955340000        25.5753169855         2.7533705372         1.3352870017         4.8892490178        -0.0332436621         0.0332436621
        8.7005413000        21.6561619558         2.7486685350         1.3378393285         4.8918008953         0.0332436621        -0.0332436621
        8.7055121000        29.7756117708         2.7583926242         1.3327346748         4.8943527728        -0.0997309863         0.0997309863
        8.7105153000        13.8178518964         2.6733247458         1.3429439823         4.8943527728         0.1662183106        -0.1662183106
        8.7155191000         8.2118583331         2.6068088381         1.3454963091         4.9020084051         0.2327056348        -0.2327056348
        8.7205661000        14.6444696145         2.6831326822         1.3403916554         4.9020084051         0.0997309863        -0.0997309863
        8.7254834000        22.2016399183         2.7493239139         1.3352870017         4.9071121601        -0.0332436621         0.0332436621
        8.7305097000        14.0821901033         2.6764611561         1.3403916554         4.9096640375         0.0997309863        -0.0997309863
        8.7355021000        13.2387708365         2.6664538670         1.3403916554         4.9096640375         0.0997309863        -0.0997309863
        8.7405626000        29.1965307109         2.7577012884         1.3301823480         4.9020084051        -0.1662183106         0.1662183106
        8.7455952000        34.8025242742         2.7643802361         1.3276300211         4.9020084051        -0.2327056348         0.2327056348
        8.7504603000        24.1696182075         2.7516858539         1.3352870017         4.9045602826        -0.0332436621         0.0332436621
        8.7555038000        16.0501683925         2.6998114973         1.3403916554         4.9096640375         0.0997309863        -0.0997309863
        8.7604793000        27.8076334816         2.7560417999         1.3327346748         4.9045602826        -0.0997309863         0.0997309863
        8.7655020000        28.6510527484         2.7570497663         1.3327346748         4.9045602826        -0.0997309863         0.0997309863
        8.7705224000        33.6947668005         2.7630628759         1.3301823480         4.9045602826        -0.1662183106         0.1662183106
        8.7755137000        18.2992864373         2.7264976015         1.3403916554         4.9173196699         0.0997309863        -0.0997309863
        8.7805397000         9.0552775999         2.6168161272         1.3454963091         4.9147677924         0.2327056348        -0.2327056348
        8.7855088000        28.0887732372         2.7563778674         1.3327346748         4.9096640375        -0.0997309863         0.0997309863
        8.7905412000        24.7318977187         2.7523599677         1.3352870017         4.9173196699        -0.0332436621         0.0332436621
        8.7955107000        20.8127426890         2.7476545814         1.3378393285         4.9122159150         0.0332436621        -0.0332436621
        8.8009779000        16.3313081481         2.7031472603         1.3403916554         4.9173196699         0.0997309863        -0.0997309863
        8.8054774000        15.4878888813         2.6931399712         1.3403916554         4.9224234248         0.0997309863        -0.0997309863
        8.8104922000        23.0450591851         2.7503366596         1.3352870017         4.9173196699        -0.0332436621         0.0332436621
        8.8154870000        31.7267885113         2.7607196099         1.3301823480         4.9122159150        -0.1662183106         0.1662183106
        8.8205118000        28.9321925040         2.7573855981         1.3327346748         4.9147677924        -0.0997309863         0.0997309863
        8.8255278000        29.7756117708         2.7583926242         1.3327346748         4.9096640375        -0.0997309863         0.0997309863
        8.8304860000        18.0181466817         2.7231618384         1.3403916554         4.9198715474         0.0997309863        -0.0997309863
        8.8355333000        25.5753169855         2.7533705372         1.3352870017         4.9198715474        -0.0332436621         0.0332436621
        8.8406586000        34.2570463117         2.7637316935         1.3301823480         4.9173196699        -0.1662183106         0.1662183106
        8.8455014000         6.2606815926         2.5836578497         1.3480486360         4.9326309346         0.2991929590        -0.2991929590
        8.8506532000        20.5316029334         2.7473164331         1.3378393285         4.9275271797         0.0332436621        -0.0332436621
        8.8555038000        20.2504631778         2.7469782026         1.3378393285         4.9224234248         0.0332436621        -0.0332436621
        8.8604863000        28.3699129928         2.7567138561         1.3327346748         4.9224234248        -0.0997309863         0.0997309863
        8.8654699000        29.2133322596         2.7577213516         1.3327346748         4.9198715474        -0.0997309863         0.0997309863
        8.8705230000        21.6561619558         2.7486685350         1.3378393285         4.9249753023         0.0332436621        -0.0332436621
        8.8754871000        29.7756117708         2.7583926242         1.3327346748         4.9249753023        -0.0997309863         0.0997309863
        8.8805183000        26.4187362523         2.7543803883         1.3352870017         4.9275271797        -0.0332436621         0.0332436621
        8.8855344000        18.2992864373         2.7264976015         1.3403916554         4.9326309346         0.0997309863        -0.0997309863
        8.8904517000         9.0552775999         2.6168161272         1.3454963091         4.9377346896         0.2327056348        -0.2327056348
        8.8955198000        15.4878888813         2.6931399712         1.3403916554         4.9351828121         0.0997309863        -0.0997309863
        8.9005261000        27.2453539704         2.7553694286         1.3327346748         4.9351828121        -0.0997309863         0.0997309863
        8.9054758000        36.4893628078         2.7663839953         1.3276300211         4.9300790572        -0.2327056348         0.2327056348
        8.9104514000        17.4558671705         2.7164903124         1.3403916554         4.9300790572         0.0997309863        -0.0997309863
        8.9154739000        16.6124479037         2.7064830233         1.3403916554         4.9377346896         0.0997309863        -0.0997309863
        8.9205245000        28.3699129928         2.7567138561         1.3327346748         4.9377346896        -0.0997309863         0.0997309863
        8.9255272000        33.4136270449         2.7627283529         1.3301823480         4.9326309346        -0.1662183106         0.1662183106
        8.9304638000        13.8178518964         2.6733247458         1.3429439823         4.9402865670         0.1662183106        -0.1662183106
        8.9354809000        20.8127426890         2.7476545814         1.3378393285         4.9377346896         0.0332436621        -0.0332436621
        8.9404877000        37.3327820746         2.7673848629         1.3276300211         4.9326309346        -0.2327056348         0.2327056348
        8.9455270000        14.0989916520         2.6766605089         1.3429439823         4.9377346896         0.1662183106        -0.1662183106
        8.9504521000        12.6932928740         2.6599816937         1.3429439823         4.9479421994         0.1662183106        -0.1662183106
        8.9555300000        28.0887732372         2.7563778674         1.3327346748         4.9428384445        -0.0997309863         0.0997309863
        8.9605186000        24.7318977187         2.7523599677         1.3352870017         4.9428384445        -0.0332436621         0.0332436621
        8.9654720000        29.2133322596         2.7577213516         1.3327346748         4.9402865670        -0.0997309863         0.0997309863
        8.9704894000        38.4573410970         2.7687183111         1.3276300211         4.9402865670        -0.2327056348         0.2327056348
        8.9754865000        36.2250246009         2.7660701724         1.3301823480         4.9428384445        -0.1662183106         0.1662183106
        8.9804579000        20.8295442376         2.7476747874         1.3403916554         4.9504940769         0.0997309863        -0.0997309863
        8.9854988000        24.1864197562         2.7517060019         1.3378393285         4.9530459543         0.0332436621        -0.0332436621
        8.9905263000        15.5046904300         2.6933393240         1.3429439823         4.9555978318         0.1662183106        -0.1662183106
        8.9954721000        14.0989916520         2.6766605089         1.3429439823         4.9530459543         0.1662183106        -0.1662183106
        9.0004649000        25.2941772299         2.7530337607         1.3352870017         4.9555978318        -0.0332436621         0.0332436621
        9.0055291000        33.9759065561         2.7633973227         1.3301823480         4.9530459543        -0.1662183106         0.1662183106
        9.0104826000        31.1813105488         2.7600694448         1.3327346748         4.9530459543        -0.0997309863         0.0997309863
        9.0156135000        15.2235506744         2.6900035610         1.3429439823         4.9530459543         0.1662183106        -0.1662183106
        9.0204992000        26.4187362523         2.7543803883         1.3352870017         4.9607015867        -0.0332436621         0.0332436621
        9.0254744000        30.9001707932         2.7597342357         1.3327346748         4.9607015867        -0.0997309863         0.0997309863
        9.0305036000         6.5418213482         2.5869936128         1.3480486360         4.9658053416         0.2991929590        -0.2991929590
        9.0356250000        25.0130374743         2.7526969043         1.3352870017         4.9607015867        -0.0332436621         0.0332436621
        9.0404526000        33.6947668005         2.7630628759         1.3301823480         4.9632534642        -0.1662183106         0.1662183106
        9.0455768000        14.0989916520         2.6766605089         1.3429439823         4.9658053416         0.1662183106        -0.1662183106
        9.0506273000        21.0938824446         2.7479926478         1.3378393285         4.9658053416         0.0332436621        -0.0332436621
        9.0554911000        29.2133322596         2.7577213516         1.3327346748         4.9683572191        -0.0997309863         0.0997309863
        9.0604549000        21.6561619558         2.7486685350         1.3378393285         4.9709090965         0.0332436621        -0.0332436621
        9.0655018000        17.1747274149         2.7131545494         1.3403916554         4.9760128515         0.0997309863        -0.0997309863
        9.0705196000         7.9307185775         2.6034730751         1.3454963091         4.9785647289         0.2327056348        -0.2327056348
        9.0755249000        22.7639194295         2.7499991588         1.3352870017         4.9760128515        -0.0332436621         0.0332436621
        9.0804636000        27.2453539704         2.7553694286         1.3327346748         4.9734609740        -0.0997309863         0.0997309863
        9.0854727000        32.2890680225         2.7613894976         1.3301823480         4.9658053416        -0.1662183106         0.1662183106
        9.0904878000        42.0953563711         2.7730240317         1.3250776943         4.9734609740        -0.2991929590         0.2991929590
        9.0954728000        15.2235506744         2.6900035610         1.3429439823         4.9760128515         0.1662183106        -0.1662183106
        9.1005804000        30.6190310376         2.7593989493         1.3327346748         4.9709090965        -0.0997309863         0.0997309863
        9.1055233000        27.2621555191         2.7553895244         1.3352870017         4.9811166064        -0.0332436621         0.0332436621
        9.1104584000        27.5432952747         2.7557257448         1.3352870017         4.9760128515        -0.0332436621         0.0332436621
        9.1154721000        19.4238454597         2.7398406535         1.3403916554         4.9811166064         0.0997309863        -0.0997309863
        9.1205135000        22.7807209782         2.7500193309         1.3378393285         4.9811166064         0.0332436621        -0.0332436621
        9.1255211000        26.6998760079         2.7547168462         1.3352870017         4.9836684838        -0.0332436621         0.0332436621
        9.1304572000        14.3801314076         2.6799962719         1.3429439823         4.9862203613         0.1662183106        -0.1662183106
        9.1354717000        29.7756117708         2.7583926242         1.3327346748         4.9836684838        -0.0997309863         0.0997309863
        9.1405181000        55.8207997494         2.7891618656         1.3174207137         4.9836684838        -0.4986549317         0.4986549317
        9.1455020000        13.8346534450         2.6735240986         1.3454963091         4.9938759937         0.2327056348        -0.2327056348
        9.1504609000        20.2672647265         2.7469984183         1.3403916554         4.9964278711         0.0997309863        -0.0997309863
        9.1555052000        27.8244350303         2.7560618863         1.3352870017         4.9964278711        -0.0332436621         0.0332436621
        9.1605037000        40.7064591418         2.7713816661         1.3276300211         4.9862203613        -0.2327056348         0.2327056348
