% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338197V  K_gimbal=26.049690  samples=12001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
       11.9006778000        -3.4268349505         2.4687140937         1.3454963091         3.4448863760         0.1901537473        -0.1901537473         1.4708097111
       11.9056609000        -5.0349543525         2.4496335292         1.3454963091         3.4448863760         0.1901537473        -0.1901537473         1.4682585140
       11.9108567000        31.1595793132         2.7600435369         1.3225253674         3.4346788662        -0.4082321708         0.4082321708         1.4810144994
       11.9155324000         9.4102068001         2.6210274124         1.3378393285         3.4423344986        -0.0093082254         0.0093082254         1.4759121052
       11.9209211000        13.6892207170         2.6717985187         1.3352870017         3.4346788662        -0.0757955496         0.0757955496         1.4784633023
       11.9257768000        35.3316932862         2.7650091163         1.3225253674         3.4397826211        -0.4082321708         0.4082321708         1.4886680906
       11.9306439000        30.3834999144         2.7591179958         1.3276300211         3.4397826211        -0.2752575223         0.2752575223         1.4886680906
       11.9359536000        36.9116318760         2.7668851769         1.3250776943         3.4423344986        -0.3417448465         0.3417448465         1.4912192877
       11.9409033000        39.8017485636         2.7703108930         1.3250776943         3.4397826211        -0.3417448465         0.3417448465         1.4835656964
       11.9455603000        30.0909808952         2.7587689885         1.3327346748         3.4499901310        -0.1422828738         0.1422828738         1.4937704847
       11.9504802000        56.4960277610         2.7899515841         1.3174207137         3.4397826211        -0.5412068192         0.5412068192         1.4963216818
       11.9555900000        52.6723934115         2.7854745563         1.3225253674         3.4474382535        -0.4082321708         0.4082321708         1.4937704847
       11.9604730000        43.5239052543         2.7747114445         1.3301823480         3.4550938859        -0.2087701981         0.2087701981         1.5039752730
       11.9654549000        57.8903472753         2.7915811224         1.3225253674         3.4525420084        -0.4082321708         0.4082321708         1.4988728789
       11.9705564000        40.3412695476         2.7709495359         1.3352870017         3.4550938859        -0.0757955496         0.0757955496         1.5065264701
       11.9754805000        61.9837421168         2.7963558547         1.3225253674         3.4448863760        -0.4082321708         0.4082321708         1.5090776672
       11.9807013000        73.8367278862         2.8101073228         1.3174207137         3.4576457633        -0.5412068192         0.5412068192         1.5090776672
       11.9859015000        65.8127987514         2.8008100782         1.3250776943         3.4678532732        -0.3417448465         0.3417448465         1.5167312584
       11.9905942000        89.7043893654         2.8283562972         1.3123160600         3.4653013957        -0.6741814677         0.6741814677         1.5192824555
