% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339141V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.2604285000       108.2332635498         2.8494608142         1.4041998268         4.8203483265        97.1027038366       106.2261034262        -6.2261034262         1.3993761929
        0.2654517000       106.3336258747         2.8473063439         1.4118568074         4.8331077137       108.5310330446       107.1155055695        -7.1155055695         1.4044785871
        0.2704459000       103.0603503512         2.8435892216         1.4144091342         4.8484189785       112.3404761139       109.1316625766        -9.1316625766         1.3942737988
        0.2754367000       108.4511104803         2.8497077578         1.4016475000         4.8407633461        93.2932607673       103.0201056754        -3.0201056754         1.3891714046
        0.2804438000       108.9021905956         2.8502190041         1.4067521537         4.8586264883       100.9121469059       102.2067085840        -2.2067085840         1.3891714046
        0.2854503000       102.6441980223         2.8431162024         1.4169614611         4.8713858756       116.1499191832       107.5869689150        -7.5869689150         1.3993761929
        0.2904386000       102.7434542964         2.8432290310         1.4093044805         4.8739377531       104.7215899753       106.4813064470        -6.4813064470         1.3968249959
        0.2954514000       110.6393219910         2.8521868089         1.3965428462         4.8688339982        85.6743746287        98.4525451315         1.5474548685         1.3993761929
        0.3004358000       109.8212663572         2.8512603265         1.4067521537         4.8841452629       100.9121469059        99.4016305493         0.5983694507         1.4044785871
        0.3054379000       110.8876880594         2.8524680229         1.4041998268         4.8918008953        97.1027038366        98.5145447445         1.4854552555         1.3942737988
        0.3104482000       111.7076253863         2.8533961691         1.4041998268         4.8918008953        97.1027038366        97.9697583356         2.0302416644         1.4044785871
        0.3154359000       110.7554233136         2.8523182694         1.4067521537         4.9045602826       100.9121469059        99.1051364747         0.8948635253         1.4044785871
        0.3204534000       105.2563982500         2.8460837163         1.4144091342         4.9173196699       112.3404761139       104.2122509605        -4.2122509605         1.3993761929
        0.3254555000       106.0387261253         2.8469717044         1.4067521537         4.9224234248       100.9121469059       102.9388413102        -2.9388413102         1.3917226017
        0.3304389000       106.4672262418         2.8474579319         1.4067521537         4.9249753023       100.9121469059       102.1568016624        -2.1568016624         1.3891714046
        0.3354463000       109.9199616321         2.8513721221         1.4016475000         4.9300790572        93.2932607673        98.7366311693         1.2633688307         1.3968249959
        0.3404333000       114.0431392470         2.8560379667         1.3990951731         4.9351828121        89.4838176980        95.1662522443         4.8337477557         1.3968249959
        0.3454412000       110.6911931993         2.8522455431         1.4093044805         4.9504940769       104.7215899753        98.8533660678         1.1466339322         1.4044785871
