% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=53.8007  Kd=1.7520  K_pot=68.073520deg/V
% Vg_offset=1.338707V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.6804315000       -37.5246503441         2.2414166430         1.3429439823         2.8120207662         6.3236754950        20.4915431494
        0.6854680000        13.2079044187         2.6660876326         1.3378393285         2.8018132564        -1.2952106436        19.7966820244
        0.6904472000        -5.4841162494         2.4443041597         1.3378393285         2.8069170113        -1.2952106436        20.1441125869
        0.6954390000         3.8618940847         2.5551958962         1.3378393285         2.8043651338        -1.2952106436        19.9703973057
        0.7004424000         1.1901404639         2.5234951610         1.3352870017         2.8069170113        -5.1046537129        20.1441125869
        0.7054546000       -37.5246503441         2.2414166430         1.3429439823         2.8120207662         6.3236754950        20.4915431494
        0.7104873000       -30.8503936308         2.2529291286         1.3403916554         2.8120207662         2.5142324257        20.4915431494
        0.7154645000        -5.4841162494         2.4443041597         1.3378393285         2.8069170113        -1.2952106436        20.1441125869
        0.7204762000        29.2281714660         2.7577390713         1.3352870017         2.7992613789        -5.1046537129        19.6229667432
        0.7254588000        22.5539147527         2.7497470009         1.3378393285         2.7992613789        -1.2952106436        19.6229667432
        0.7305523000        17.2104075113         2.7135778988         1.3327346748         2.8043651338        -8.9140967822        19.9703973057
        0.7354461000        45.2484385134         2.7767460131         1.3327346748         2.7967095015        -8.9140967822        19.4492514619
        0.7404448000       -12.1583729627         2.3651131584         1.3403916554         2.8069170113         2.5142324257        20.1441125869
        0.7454484000       -25.5068863893         2.2622889383         1.3454963091         2.8069170113        10.1331185644        20.1441125869
        0.7504355000        22.5539147527         2.7497470009         1.3378393285         2.7992613789        -1.2952106436        19.6229667432
        0.7554568000         1.1901404639         2.5234951610         1.3352870017         2.8069170113        -5.1046537129        20.1441125869
        0.7605800000        23.8846642246         2.7513441013         1.3301823480         2.8043651338       -12.7235398515        19.9703973057
        0.7654715000       -53.5449173915         2.2145586583         1.3454963091         2.8145726437        10.1331185644        20.6652584306
        0.7704586000        19.8821611320         2.7452786339         1.3352870017         2.8018132564        -5.1046537129        19.7966820244
        0.7754710000       -14.8301265834         2.3334124233         1.3378393285         2.8094688888        -1.2952106436        20.3178278682
        0.7804465000       -34.8528967234         2.2460017266         1.3454963091         2.8094688888        10.1331185644        20.3178278682
        0.7854292000        42.5766848927         2.7735927883         1.3301823480         2.7992613789       -12.7235398515        19.6229667432
        0.7904704000       -44.1989070574         2.2300968429         1.3454963091         2.8120207662        10.1331185644        20.4915431494
        0.7954274000       -38.8553998159         2.2391444427         1.3506009628         2.8069170113        17.7520047030        20.1441125869
        0.8004380000       -20.1633791479         2.2717789023         1.3506009628         2.8018132564        17.7520047030        19.7966820244
        0.8054179000        45.2484385134         2.7767460131         1.3327346748         2.7967095015        -8.9140967822        19.4492514619
        0.8104552000       -37.5246503441         2.2414166430         1.3429439823         2.8120207662         6.3236754950        20.4915431494
        0.8154451000        -5.4841162494         2.4443041597         1.3378393285         2.8069170113        -1.2952106436        20.1441125869
        0.8204527000        -5.4841162494         2.4443041597         1.3378393285         2.8069170113        -1.2952106436        20.1441125869
        0.8254375000        22.5539147527         2.7497470009         1.3378393285         2.7992613789        -1.2952106436        19.6229667432
        0.8304674000        26.5564178453         2.7545451706         1.3327346748         2.8018132564        -8.9140967822        19.7966820244
        0.8354321000       -37.5246503441         2.2414166430         1.3429439823         2.8120207662         6.3236754950        20.4915431494
        0.8404674000       -18.8326296760         2.2859221571         1.3429439823         2.8069170113         6.3236754950        20.1441125869
        0.8454437000       -14.8301265834         2.3334124233         1.3378393285         2.8094688888        -1.2952106436        20.3178278682
        0.8504593000       -16.1608760553         2.3176228923         1.3454963091         2.8043651338        10.1331185644        19.9703973057
        0.8554430000       -42.8579029085         2.2323560445         1.3557056165         2.8043651338        25.3708908416        19.9703973057
        0.8604549000       -38.8553998159         2.2391444427         1.3506009628         2.8069170113        17.7520047030        20.1441125869
        0.8654702000        35.9024281794         2.7656870954         1.3327346748         2.7992613789        -8.9140967822        19.6229667432
        0.8704519000         7.8643971772         2.6026861623         1.3327346748         2.8069170113        -8.9140967822        20.1441125869
        0.8754327000        35.9024281794         2.7656870954         1.3327346748         2.7992613789        -8.9140967822        19.6229667432
        0.8804450000       -12.1583729627         2.3651131584         1.3403916554         2.8069170113         2.5142324257        20.1441125869
        0.8854267000        -2.8123626287         2.4760048949         1.3403916554         2.8043651338         2.5142324257        19.9703973057
        0.8904676000       -34.8528967234         2.2460017266         1.3454963091         2.8094688888        10.1331185644        20.3178278682
        0.8954386000        -2.8123626287         2.4760048949         1.3403916554         2.8043651338         2.5142324257        19.9703973057
        0.9004610000         3.8618940847         2.5551958962         1.3378393285         2.8043651338        -1.2952106436        19.9703973057
        0.9054338000       -24.1761369175         2.2646400365         1.3378393285         2.8120207662        -1.2952106436        20.4915431494
        0.9104523000       -16.1608760553         2.3176228923         1.3454963091         2.8043651338        10.1331185644        19.9703973057
        0.9154403000       -37.5246503441         2.2414166430         1.3429439823         2.8120207662         6.3236754950        20.4915431494
