% Designation Loop (PD + Notch)  psi_cmd=+20.000deg
% Kp=56.9305  Kd=1.8754  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.338835V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        1.1857024000       108.6215850801         2.8247148440         1.6415662245         2.7022900355         7.8860615265        13.0217860559
        1.1906820000        82.3728730745         2.7938488980         1.6236999365         2.7405681974         7.4206502569        15.6275152746
        1.1957777000        34.8393316370         2.7364222129         1.6160429559         2.7660869720         7.2211882843        17.3646680870
        1.2006381000       -44.0208857026         2.2421589943         1.6007289948         2.7941576240         6.8222643389        19.2755361807
        1.2055689000      -106.2161897952         2.1581309893         1.5752057262         2.8145726437         6.1573910966        20.6652584306
        1.2107050000      -304.1724056956         1.9275569366         1.5752057262         2.8426432957         6.1573910966        22.5761265243
        1.2154745000      -522.0668200218         1.6925801600         1.5701010725         2.8732658252         6.0244164482        24.6607098992
        1.2205993000      -689.0409810647         1.4878455648         1.5547871113         2.8936808449         5.6254925028        26.0504321492
        1.2255480000      -798.7921739914         1.3271440110         1.5292638428         2.9038883547         4.9606192606        26.7452932742
        1.2304910000      -984.3496735149         0.9851812824         1.5165022085         2.9243033744         4.6281826394        28.1350155241
        1.2355828000     -1144.8782587093         0.5961738437         1.4986359205         2.9447183941         4.1627713698        29.5247377740
        1.2406253000     -1274.3163685512         0.2048866834         1.4833219594         2.9600296588         3.7638474245        30.5670294615
        1.2454960000     -1344.0614674562         0.0000000000         1.4552463639         2.9753409236         3.0324868580        31.6093211490
        1.2506399000      -171.3944500783         2.0772177734         1.0596357012         2.9345108842        -7.2730483972        28.8298766491
        1.2556678000       530.7767350598         3.2737804013         0.8222693035         2.8962327224       -13.4563695502        26.2241474304
        1.2607726000       495.7207024926         3.2367414691         0.8631065332         2.8528508056       -12.3925723626        23.2709876493
        1.2657737000       649.6791559907         3.4068595886         0.8656588601         2.7992613789       -12.3260850384        19.6229667432
        1.2705404000       722.7166904183         3.4975943237         0.8911821287         2.7609832170       -11.6612117961        17.0172375245
        1.2755831000       856.3074153346         3.6918164888         0.9141530704         2.7201531777       -11.0628258781        14.2377930246
        1.2805890000      1098.7412264056         4.1950130933         0.9218100509         2.6716675060       -10.8633639054        10.9372026810
        1.2855792000      1295.2457396611         4.8274528017         0.9422286658         2.6333893441       -10.3314653116         8.3314734624
        1.2906842000      1348.8795471583         5.0000000000         1.0162461446         2.6002149371        -8.4033329090         6.0731748062
        1.2954944000       170.3398284643         2.8950892653         1.4577986908         2.6333893441         3.0989741822         8.3314734624
