% Designation Loop  psi_cmd=+0.000deg  (absolute, NEUTRAL ref)
% Kp=16.6052  Kd=0.5122  K_pot=68.073520deg/V
% Vg_offset=1.338784V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        1.0854564000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.0904361000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        1.0954282000         4.7380417792         2.5655915127         1.3327346748         2.5108992261        -9.0283800743        -0.0068600373
        1.1004297000         6.6891513660         2.5887417043         1.3301823480         2.5108992261       -12.8378231436        -0.0068600373
        1.1054442000         4.7380417792         2.5655915127         1.3327346748         2.5108992261        -9.0283800743        -0.0068600373
        1.1104531000         7.6226128699         2.5998173573         1.3327346748         2.5083473486        -9.0283800743        -0.1805753185
        1.1154556000        12.4582935475         2.6571933935         1.3301823480         2.5057954711       -12.8378231436        -0.3542905998
        1.1204400000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        1.1254395000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.1304419000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.1354480000        -6.8844291627         2.4276892487         1.3403916554         2.5160029810         2.3999491337         0.3405705252
        1.1404349000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        1.1454431000         5.6715032831         2.5766671656         1.3352870017         2.5083473486        -5.2189370049        -0.1805753185
        1.1504324000        -6.8844291627         2.4276892487         1.3403916554         2.5160029810         2.3999491337         0.3405705252
        1.1554403000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        1.1604310000        -7.9020772455         2.4156147100         1.3454963091         2.5134511035        10.0188352723         0.1668552439
        1.1654744000       -17.4892520217         2.3018615233         1.3429439823         2.5236586133         6.2093922030         0.8617163689
        1.1704472000         6.6891513660         2.5887417043         1.3301823480         2.5108992261       -12.8378231436        -0.0068600373
        1.1754523000       -11.7201098402         2.3703132124         1.3429439823         2.5185548584         6.2093922030         0.5142858064
        1.1804447000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
