% Designation Loop (PD + Notch)  psi_cmd=-20.000deg
% Kp=72.9511  Kd=2.1545  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395420V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.8106243000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8157593000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        0.8207999000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8256048000        36.9904014714         2.7390648772         1.3914381925         2.2123295633        -0.1037202258       -20.3315479428
        0.8311084000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8356430000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
        0.8406203000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8455702000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8505109000       -46.5302623139         2.2386191077         1.4016475000         2.2225370732         0.1622290711       -19.6366868178
        0.8555699000        20.5755112857         2.7187912510         1.3965428462         2.2123295633         0.0292544227       -20.3315479428
        0.8604494000       -46.5302623139         2.2386191077         1.4016475000         2.2225370732         0.1622290711       -19.6366868178
        0.8655984000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8705557000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8756060000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8808884000         3.4375146716         2.5353365198         1.3939905194         2.2174333183        -0.0372329016       -19.9841173803
        0.8855277000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.8909030000       -67.4104282602         2.2096732855         1.4041998268         2.2250889506         0.2287163953       -19.4629715365
        0.8954549000       -71.1525975924         2.2045788269         1.4093044805         2.2225370732         0.3616910438       -19.6366868178
        0.9007431000        28.7829563786         2.7289590023         1.3939905194         2.2123295633        -0.0372329016       -20.3315479428
        0.9055399000       -33.8575414604         2.2566351582         1.4016475000         2.2199851957         0.1622290711       -19.8104020990
        0.9105042000        60.8896303213         2.7681438399         1.3761242314         2.2174333183        -0.5026441712       -19.9841173803
        0.9155372000        -8.5120997534         2.4034924343         1.4016475000         2.2148814408         0.1622290711       -20.1578326615
        0.9205857000       -21.1848206069         2.2750063573         1.4016475000         2.2174333183         0.1622290711       -19.9841173803
        0.9255995000       -29.3922656997         2.2630670819         1.4041998268         2.2174333183         0.2287163953       -19.9841173803
        0.9305816000        -0.3046546606         2.4940479162         1.3990951731         2.2148814408         0.0957417469       -20.1578326615
        0.9355537000        57.8705674177         2.7644987909         1.3888858657         2.2097776859        -0.1702075500       -20.5052632240
        0.9405429000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        0.9454613000       -30.1153721283         2.2620224796         1.3965428462         2.2225370732         0.0292544227       -19.6366868178
        0.9504422000        52.6821852285         2.7582155860         1.3786765582         2.2174333183        -0.4361568469       -19.9841173803
        0.9555759000        41.4556772321         2.7445371560         1.3939905194         2.2097776859        -0.0372329016       -20.5052632240
        0.9605657000        19.8524048572         2.7164474837         1.3888858657         2.2174333183        -0.1702075500       -19.9841173803
        0.9654246000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.9704161000        -8.5120997534         2.4034924343         1.4016475000         2.2148814408         0.1622290711       -20.1578326615
        0.9754737000        41.4556772321         2.7445371560         1.3939905194         2.2097776859        -0.0372329016       -20.5052632240
        0.9804727000        28.0598499500         2.7280656770         1.3863335388         2.2174333183        -0.2366948742       -19.9841173803
        0.9853973000       -50.2724316460         2.2333649999         1.4067521537         2.2199851957         0.2952037196       -19.8104020990
        0.9904322000       -21.1848206069         2.2750063573         1.4016475000         2.2174333183         0.1622290711       -19.9841173803
        0.9954515000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
        1.0004054000        57.8705674177         2.7644987909         1.3888858657         2.2097776859        -0.1702075500       -20.5052632240
        1.0054588000        98.9077928818         2.8133604182         1.3761242314         2.2097776859        -0.5026441712       -20.5052632240
        1.0104435000        57.8705674177         2.7644987909         1.3888858657         2.2097776859        -0.1702075500       -20.5052632240
        1.0154189000       -33.8575414604         2.2566351582         1.4016475000         2.2199851957         0.1622290711       -19.8104020990
        1.0204315000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        1.0254204000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
        1.0304037000       -46.5302623139         2.2386191077         1.4016475000         2.2225370732         0.1622290711       -19.6366868178
        1.0354381000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        1.0404582000         3.4375146716         2.5353365198         1.3939905194         2.2174333183        -0.0372329016       -19.9841173803
        1.0454190000         3.4375146716         2.5353365198         1.3939905194         2.2174333183        -0.0372329016       -19.9841173803
        1.0504352000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
        1.0554441000       -33.8575414604         2.2566351582         1.4016475000         2.2199851957         0.1622290711       -19.8104020990
        1.0604284000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
        1.0654141000        57.8705674177         2.7644987909         1.3888858657         2.2097776859        -0.1702075500       -20.5052632240
        1.0704238000        98.9077928818         2.8133604182         1.3761242314         2.2097776859        -0.5026441712       -20.5052632240
        1.0754383000        -0.3046546606         2.4940479162         1.3990951731         2.2148814408         0.0957417469       -20.1578326615
        1.0804235000       -33.8575414604         2.2566351582         1.4016475000         2.2199851957         0.1622290711       -19.8104020990
        1.0854817000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        1.0904049000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
