% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        1.1654369000        -4.6719101628         2.4539411000         1.3454963091         2.8018132564         8.8950495668        19.7966820244
        1.1704377000       -43.7419065302         2.2308659055         1.3480486360         2.8069170113        12.7044926361        20.1441125869
        1.1754488000       -49.1327659082         2.2218493577         1.3454963091         2.8094688888         8.8950495668        20.3178278682
        1.1804561000       -24.8830547893         2.2633900833         1.3429439823         2.8069170113         5.0856064975        20.1441125869
        1.1854471000        62.6863638160         2.7971740644         1.3352870017         2.7967095015        -6.3427227104        19.4492514619
        1.1904271000       175.8394742614         2.9251223123         1.3046590794         2.7967095015       -52.0560395421        19.4492514619
        1.1954358000       -38.3510471521         2.2400047057         1.3506009628         2.8043651338        16.5139357054        19.9703973057
        1.2004265000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        1.2054739000       100.4040672978         2.8405682308         1.3250776943         2.7967095015       -21.5804949876        19.4492514619
        1.2104451000         4.7575157077         2.5658225736         1.3429439823         2.8018132564         5.0856064975        19.7966820244
        1.2154476000        81.5452155569         2.8189944184         1.3301823480         2.7967095015       -13.9616088490        19.4492514619
        1.2204377000        43.8275120751         2.7750698283         1.3403916554         2.7967095015         1.2761634282        19.4492514619
        1.2254470000        -4.6719101628         2.4539411000         1.3454963091         2.8018132564         8.8950495668        19.7966820244
        1.2304284000        42.4752191895         2.7734729101         1.3327346748         2.8018132564       -10.1521657797        19.7966820244
        1.2354432000        72.1157896865         2.8081173778         1.3327346748         2.7967095015       -10.1521657797        19.4492514619
        1.2404222000         4.7575157077         2.5658225736         1.3429439823         2.8018132564         5.0856064975        19.7966820244
        1.2454480000        23.6163674486         2.7510222504         1.3378393285         2.8018132564        -2.5332796411        19.7966820244
        1.2504422000       -86.8504693900         2.1619380403         1.3557056165         2.8094688888        24.1328218441        20.3178278682
        1.2554393000       -51.8190395150         2.2174011113         1.3582579434         2.8018132564        27.9422649134        19.7966820244
        1.2604346000       -16.8059218045         2.3099693331         1.3327346748         2.8120207662       -10.1521657797        20.4915431494
        1.2654587000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        1.2704324000       -63.9530511568         2.1976673997         1.3454963091         2.8120207662         8.8950495668        20.4915431494
        1.2754559000        76.1543561789         2.8127837909         1.3276300211         2.7992613789       -17.7710519183        19.6229667432
        1.2804590000       -63.9530511568         2.1976673997         1.3454963091         2.8120207662         8.8950495668        20.4915431494
        1.2854293000       -15.4536289189         2.3260144797         1.3403916554         2.8069170113         1.2761634282        20.1441125869
        1.2904515000        47.8660785675         2.7798291639         1.3352870017         2.7992613789        -6.3427227104        19.6229667432
        1.2954357000       -73.3824770272         2.1827230744         1.3480486360         2.8120207662        12.7044926361        20.4915431494
        1.3004384000        18.2255080705         2.7256222107         1.3352870017         2.8043651338        -6.3427227104        19.9703973057
        1.3054311000       -15.4536289189         2.3260144797         1.3403916554         2.8069170113         1.2761634282        20.1441125869
