% Designation Loop  psi_cmd=+5.000deg  (absolute, NEUTRAL ref)
% Kp=29.5203  Kd=1.0288  K_pot=68.073520deg/V
% Vg_offset=1.338720V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.7205157000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.7255074000        22.4539218602         2.7496269210         1.3301823480         2.5797999174       -12.7425870668         4.6834525563
        0.7305306000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.7355137000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.7405084000       -17.6540214550         2.2999065106         1.3429439823         2.5900074273         6.3046282797         5.3783136812
        0.7455095000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.7505099000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.7555077000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.7605120000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.7654234000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.7705289000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        0.7755162000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.7805220000        -2.2696423043         2.4824443484         1.3429439823         2.5823517949         6.3046282797         4.8571678375
        0.7855104000         9.4876203642         2.6219459353         1.3352870017         2.5823517949        -5.1237009282         4.8571678375
        0.7904177000        -3.4786811317         2.4680989315         1.3403916554         2.5849036724         2.4951852104         5.0308831188
        0.7955085000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.8005036000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.8054274000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        0.8105097000        10.6966591916         2.6362913523         1.3378393285         2.5797999174        -1.3142578589         4.6834525563
        0.8155098000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        0.8205036000        -7.3977686878         2.4215984025         1.3429439823         2.5849036724         6.3046282797         5.0308831188
        0.8255096000       -21.5731090111         2.2692624427         1.3454963091         2.5900074273        10.1140713490         5.3783136812
        0.8305109000        10.6966591916         2.6362913523         1.3378393285         2.5797999174        -1.3142578589         4.6834525563
        0.8355281000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        0.8405095000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.8455094000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        0.8505082000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.8555079000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.8605046000       -58.3459069181         2.2067143243         1.3761242314         2.5849036724        55.8273881807         5.0308831188
        0.8655141000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.8705055000       -11.3168562440         2.3750978735         1.3454963091         2.5849036724        10.1140713490         5.0308831188
        0.8755151000         4.0675229067         2.5576357113         1.3454963091         2.5772480400        10.1140713490         4.5097372750
        0.8805061000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.8855043000        -9.8158463426         2.3929075686         1.3378393285         2.5900074273        -1.3142578589         5.3783136812
        0.8905081000        27.5820482437         2.7557720840         1.3301823480         2.5772480400       -12.7425870668         4.5097372750
        0.8955089000       -22.7821478385         2.2671115700         1.3429439823         2.5925593047         6.3046282797         5.5520289625
        0.9005112000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        0.9055080000         8.2785815369         2.6076005184         1.3327346748         2.5849036724        -8.9331439975         5.0308831188
        0.9105059000       -11.3168562440         2.3750978735         1.3454963091         2.5849036724        10.1140713490         5.0308831188
        0.9155013000        27.5820482437         2.7557720840         1.3301823480         2.5772480400       -12.7425870668         4.5097372750
        0.9205181000        -0.7686324029         2.5002540435         1.3352870017         2.5874555498        -5.1237009282         5.2045984000
        0.9255076000        27.5820482437         2.7557720840         1.3301823480         2.5772480400       -12.7425870668         4.5097372750
        0.9305033000       -22.7821478385         2.2671115700         1.3429439823         2.5925593047         6.3046282797         5.5520289625
        0.9355070000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.9405034000       -11.3168562440         2.3750978735         1.3454963091         2.5849036724        10.1140713490         5.0308831188
        0.9455088000       -17.6540214550         2.2999065106         1.3429439823         2.5900074273         6.3046282797         5.3783136812
        0.9505119000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.9555037000       -16.4449826276         2.3142519276         1.3454963091         2.5874555498        10.1140713490         5.2045984000
        0.9605109000         9.4876203642         2.6219459353         1.3352870017         2.5823517949        -5.1237009282         4.8571678375
        0.9655034000       -17.6540214550         2.2999065106         1.3429439823         2.5900074273         6.3046282797         5.3783136812
        0.9705064000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.9755077000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        0.9805044000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.9855073000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.9905070000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.9955028000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        1.0005052000         9.4876203642         2.6219459353         1.3352870017         2.5823517949        -5.1237009282         4.8571678375
        1.0055015000        18.5348343040         2.7292924103         1.3327346748         2.5797999174        -8.9331439975         4.6834525563
        1.0105071000       -17.6540214550         2.2999065106         1.3429439823         2.5900074273         6.3046282797         5.3783136812
        1.0155056000        -3.4786811317         2.4680989315         1.3403916554         2.5849036724         2.4951852104         5.0308831188
        1.0205041000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        1.0255004000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        1.0305040000        27.5820482437         2.7557720840         1.3301823480         2.5772480400       -12.7425870668         4.5097372750
        1.0355046000       -21.5731090111         2.2692624427         1.3454963091         2.5900074273        10.1140713490         5.3783136812
        1.0405011000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        1.0455057000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        1.0505087000        27.5820482437         2.7557720840         1.3301823480         2.5772480400       -12.7425870668         4.5097372750
        1.0555001000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        1.0605041000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        1.0655045000        27.5820482437         2.7557720840         1.3301823480         2.5772480400       -12.7425870668         4.5097372750
        1.0705030000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        1.0754193000        -3.4786811317         2.4680989315         1.3403916554         2.5849036724         2.4951852104         5.0308831188
        1.0805117000        -0.7686324029         2.5002540435         1.3352870017         2.5874555498        -5.1237009282         5.2045984000
        1.0855018000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        1.0905002000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        1.0955059000        22.4539218602         2.7496269210         1.3301823480         2.5797999174       -12.7425870668         4.6834525563
        1.1004471000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        1.1055319000        -3.4786811317         2.4680989315         1.3403916554         2.5849036724         2.4951852104         5.0308831188
        1.1105214000         9.4876203642         2.6219459353         1.3352870017         2.5823517949        -5.1237009282         4.8571678375
        1.1155215000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        1.1205280000         4.3594939807         2.5610999894         1.3352870017         2.5849036724        -5.1237009282         5.0308831188
        1.1255267000         4.3594939807         2.5610999894         1.3352870017         2.5849036724        -5.1237009282         5.0308831188
        1.1305171000        -7.3977686878         2.4215984025         1.3429439823         2.5849036724         6.3046282797         5.0308831188
        1.1355008000        27.5820482437         2.7557720840         1.3301823480         2.5772480400       -12.7425870668         4.5097372750
        1.1405072000         4.3594939807         2.5610999894         1.3352870017         2.5849036724        -5.1237009282         5.0308831188
        1.1455012000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        1.1505023000        27.5820482437         2.7557720840         1.3301823480         2.5772480400       -12.7425870668         4.5097372750
        1.1555000000       -25.4921965673         2.2623148474         1.3480486360         2.5900074273        13.9235144183         5.3783136812
        1.1605063000       -24.2831577399         2.2644506582         1.3506009628         2.5874555498        17.7329574876         5.2045984000
        1.1654988000        22.4539218602         2.7496269210         1.3301823480         2.5797999174       -12.7425870668         4.6834525563
        1.1705165000       -14.9439727262         2.3320616227         1.3378393285         2.5925593047        -1.3142578589         5.5520289625
        1.1755004000        18.5348343040         2.7292924103         1.3327346748         2.5797999174        -8.9331439975         4.6834525563
        1.1805077000       -13.7349338988         2.3464070396         1.3403916554         2.5900074273         2.4951852104         5.3783136812
        1.1854982000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        1.1905016000        15.8247855752         2.6971372982         1.3378393285         2.5772480400        -1.3142578589         4.5097372750
        1.1955063000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        1.2005026000        -3.4786811317         2.4680989315         1.3403916554         2.5849036724         2.4951852104         5.0308831188
        1.2055054000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        1.2104967000       -16.4449826276         2.3142519276         1.3454963091         2.5874555498        10.1140713490         5.2045984000
        1.2154229000        18.5348343040         2.7292924103         1.3327346748         2.5797999174        -8.9331439975         4.6834525563
        1.2205090000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        1.2254996000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        1.2305064000       -11.3168562440         2.3750978735         1.3454963091         2.5849036724        10.1140713490         5.0308831188
        1.2354986000         8.2785815369         2.6076005184         1.3327346748         2.5849036724        -8.9331439975         5.0308831188
        1.2405067000        -4.6877199590         2.4537535145         1.3378393285         2.5874555498        -1.3142578589         5.2045984000
        1.2455036000        14.6157467478         2.6827918813         1.3352870017         2.5797999174        -5.1237009282         4.6834525563
        1.2505170000        -8.6068075152         2.4072529855         1.3403916554         2.5874555498         2.4951852104         5.2045984000
        1.2554986000        -8.6068075152         2.4072529855         1.3403916554         2.5874555498         2.4951852104         5.2045984000
        1.2604965000        19.7438731314         2.7436378272         1.3352870017         2.5772480400        -5.1237009282         4.5097372750
        1.2654998000       -22.7821478385         2.2671115700         1.3429439823         2.5925593047         6.3046282797         5.5520289625
        1.2704962000        15.8247855752         2.6971372982         1.3378393285         2.5772480400        -1.3142578589         4.5097372750
        1.2755002000       -31.8293617783         2.2512282178         1.3454963091         2.5951111822        10.1140713490         5.7257442437
        1.2804976000         4.3594939807         2.5610999894         1.3352870017         2.5849036724        -5.1237009282         5.0308831188
        1.2854983000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        1.2905013000       -17.6540214550         2.2999065106         1.3429439823         2.5900074273         6.3046282797         5.3783136812
        1.2956153000        15.8247855752         2.6971372982         1.3378393285         2.5772480400        -1.3142578589         4.5097372750
        1.3005376000        18.5348343040         2.7292924103         1.3327346748         2.5797999174        -8.9331439975         4.6834525563
        1.3055198000       -13.7349338988         2.3464070396         1.3403916554         2.5900074273         2.4951852104         5.3783136812
