% Designation Loop  psi_cmd=+8.000deg  (absolute, NEUTRAL ref)
% Kp=57.6403  Kd=1.7943  K_pot=68.073520deg/V
% Vg_offset=1.337814V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.5254031000      -430.7757146873         1.7925076044         1.4118568074         2.6767712609         1.9287972758        12.0334419635
        0.5305007000      -453.5002972000         1.7680672949         1.4016475000         2.6895306482         1.6628479789        12.9020183697
        0.5353920000      -412.4896011732         1.8120476232         1.3863335388         2.6895306482         1.2639240335        12.9020183697
        0.5404111000      -394.6828170603         1.8310050228         1.3684672508         2.6971862806         0.7985127640        13.4231642135
        0.5454040000      -211.5726731431         2.0302054379         1.3225253674         2.6818750158        -0.3982590721        12.3808725260
        0.5503789000        19.8626122066         2.7165601048         1.2510602154         2.6716675060        -2.2599041505        11.6860114010
        0.5554764000       295.9658162859         3.0304893807         1.1591764486         2.6640118736        -4.6534478226        11.1648655573
        0.5607398000       352.3866494198         3.0889889517         1.1642811023         2.6461487314        -4.5204731742         9.9488585886
        0.5653839000       442.0244037737         3.1810376505         1.1719380829         2.6180780793        -4.3210112015         8.0379904949
        0.5704012000       461.5710929848         3.2012099053         1.1795950634         2.6078705695        -4.1215492288         7.3431293699
        0.5754478000       446.9422021736         3.1861043428         1.2000136783         2.5976630597        -3.5896506350         6.6482682450
        0.5803892000       510.1981513119         3.2519558946         1.2025660052         2.5797999174        -3.5231633108         5.4322612763
        0.5853943000       519.2525018157         3.2615275484         1.2178799663         2.5670405302        -3.1242393654         4.5636848701
        0.5903783000       518.2938430134         3.2605119085         1.2331939274         2.5568330203        -2.7253154201         3.8688237451
        0.5953755000       561.0444441384         3.3063954735         1.2434032349         2.5389698781        -2.4593661231         2.6528167764
        0.6003896000       458.9970334724         3.1985478890         1.2740311571         2.5440736330        -1.6615182324         3.0002473389
        0.6054577000       488.5567319897         3.2292496705         1.2816881377         2.5313142457        -1.4620562597         2.1316709326
        0.6104575000       430.2185812511         3.1688928393         1.3072114063         2.5287623683        -0.7971830175         1.9579556514
        0.6153814000       331.3490638868         3.0672798311         1.3403916554         2.5313142457         0.0671521975         2.1316709326
        0.6205738000        42.5342866009         2.7458562922         1.4220661148         2.5491773879         2.1947465727         3.3476779013
        0.6253949000      -236.7468107800         2.0016306494         1.5113975548         2.5593848978         4.5218029207         4.0425390263
        0.6303906000      -354.6836879542         1.8735143802         1.5292638428         2.5772480400         4.9872141902         5.2585459950
        0.6353774000      -376.9289410657         1.8498714428         1.5113975548         2.5951111822         4.5218029207         6.4745529637
