% Designation Loop  psi_cmd=-20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.9354362000       -58.4041435933         2.2066197319         1.3429439823         2.2250889506         5.0856064975       -19.4629715365
        0.9404537000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        0.9454316000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        0.9504427000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        0.9554275000        38.5947008824         2.7688811045         1.3327346748         2.2148814408       -10.1521657797       -20.1578326615
        0.9604493000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
        0.9654273000        -0.4752954850         2.5037345276         1.3352870017         2.2199851957        -6.3427227104       -19.8104020990
        0.9704381000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        0.9754515000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        0.9804279000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        0.9854632000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        0.9904332000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        0.9954368000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.0004436000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.0054496000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.0104668000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.0154259000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        1.0204342000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.0254433000       -58.4041435933         2.2066197319         1.3429439823         2.2250889506         5.0856064975       -19.4629715365
        1.0304609000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.0354606000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        1.0404511000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.0454315000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.0504899000       -36.8407060811         2.2425874271         1.3531532897         2.2148814408        20.3233787748       -20.1578326615
        1.0554478000        48.0241267529         2.7800151243         1.3301823480         2.2148814408       -13.9616088490       -20.1578326615
        1.0604380000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.0654418000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.0704441000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.0754383000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        1.0804271000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.0854380000        19.7358491415         2.7435426214         1.3378393285         2.2148814408        -2.5332796411       -20.1578326615
        1.0904394000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.0954337000       -39.5452918524         2.2379694802         1.3378393285         2.2250889506        -2.5332796411       -19.4629715365
        1.1004348000        38.5947008824         2.7688811045         1.3327346748         2.2148814408       -10.1521657797       -20.1578326615
        1.1054507000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        1.1104310000        52.0626932453         2.7847595221         1.3250776943         2.2174333183       -21.5804949876       -19.9841173803
        1.1154484000       -48.9747177229         2.2221119914         1.3403916554         2.2250889506         1.2761634282       -19.4629715365
        1.1204278000        19.7358491415         2.7435426214         1.3378393285         2.2148814408        -2.5332796411       -20.1578326615
        1.1254477000       -58.4041435933         2.2066197319         1.3429439823         2.2250889506         5.0856064975       -19.4629715365
        1.1304174000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.1354390000       -28.7635730963         2.2565691519         1.3429439823         2.2199851957         5.0856064975       -19.8104020990
        1.1404408000       -19.3341472259         2.2799715804         1.3403916554         2.2199851957         1.2761634282       -19.8104020990
        1.1454523000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.1504175000       -43.5838583448         2.2311320810         1.3429439823         2.2225370732         5.0856064975       -19.6366868178
        1.1554430000       -19.3341472259         2.2799715804         1.3403916554         2.2199851957         1.2761634282       -19.8104020990
        1.1604480000        14.3449897635         2.6795793113         1.3352870017         2.2174333183        -6.3427227104       -19.9841173803
        1.1654436000       -39.5452918524         2.2379694802         1.3378393285         2.2250889506        -2.5332796411       -19.4629715365
        1.1704307000       -34.1544324744         2.2472055205         1.3403916554         2.2225370732         1.2761634282       -19.6366868178
        1.1754599000        61.4921191157         2.7957831196         1.3225253674         2.2174333183       -25.3899380569       -19.9841173803
        1.1804392000        18.3835562559         2.7274974748         1.3301823480         2.2199851957       -13.9616088490       -19.8104020990
        1.1854551000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.1904380000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
