% K_lin=7.278100  p_cw=[-2.838900 33.414700 -70.041400]  p_ccw=[2.963600 3.934100 -23.977500]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.5450099000         0.6325797972         2.9970334470         1.4782173056         3.0774160220         3.6564703958         4.6039790222
        0.5500166000         0.6374400627         2.9991914180         1.4705603251         3.0978310416         3.4570084232         4.6393525200
        0.5551674000         0.6424138792         3.0014014779         1.4935312668         3.1182460613         4.0553943412         4.6755524545
        0.5600156000         0.6470709080         3.0034723132         1.4858742862         3.1233498162         3.8559323685         4.7094467756
        0.5650178000         0.6518506883         3.0055992809         1.4858742862         3.1437648359         3.8559323685         4.7442344944
        0.5700183000         0.6566031007         3.0077156288         1.4884266131         3.1488685908         3.9224196928         4.7788230271
        0.5751099000         0.6614154527         3.0098602563         1.4807696325         3.1692836105         3.7229577201         4.8138478060
        0.5800072000         0.6660186165         3.0119131570         1.4833219594         3.1820429978         3.7894450443         4.8473500929
        0.5850076000         0.6706926605         3.0139991704         1.4858742862         3.1973542625         3.8559323685         4.8813682522
        0.5900140000         0.6753457830         3.0160773532         1.4833219594         3.2050098949         3.7894450443         4.9152341434
        0.5951113000         0.6800559279         3.0181825375         1.4935312668         3.2356324244         4.0553943412         4.9495150487
        0.6000074000         0.6845538847         3.0201943290         1.4986359205         3.2458399342         4.1883689897         4.9822516279
        0.6050149000         0.6891273766         3.0222413545         1.4884266131         3.2509436892         3.9224196928         5.0155379596
        0.6100181000         0.6936696892         3.0242758743         1.4909789399         3.2662549539         3.9889070170         5.0485973646
        0.6150167000         0.6981804434         3.0262976918         1.4884266131         3.2841180961         3.9224196928         5.0814270849
        0.6200186000         0.7026666007         3.0283099036         1.4858742862         3.2994293609         3.8559323685         5.1140777862
        0.6250181000         0.7071228642         3.0303101111         1.4986359205         3.3198443806         4.1883689897         5.1465109182
        0.6300120000         0.7115462728         3.0322969585         1.4935312668         3.3377075228         4.0553943412         5.1787049284
        0.6350217000         0.7159555210         3.0342788236         1.5062929011         3.3530187875         4.3878309623         5.2107958777
        0.6400123000         0.7203197463         3.0362418094         1.5241591891         3.3708819297         4.8532422319         5.2425591459
        0.6450214000         0.7246716616         3.0382006061         1.4833219594         3.3759856847         3.7894450443         5.2742328203
        0.6500169000         0.7289831651         3.0401425433         1.5037405742         3.3989525818         4.3213436381         5.3056123739
        0.6550141000         0.7332673939         3.0420735097         1.4960835936         3.4066082142         4.1218816654         5.3367934197
        0.6600138000         0.7375248286         3.0439936996         1.4986359205         3.4295751113         4.1883689897         5.3677794550
        0.6650076000         0.7417481780         3.0458997995         1.5216068622         3.4474382535         4.7867549077         5.3985174147
        0.6700147000         0.7459534482         3.0477990120         1.4909789399         3.4653013957         3.9889070170         5.4291237917
        0.6750169000         0.7501251139         3.0496843047         1.5190545354         3.4882682929         4.7202675835         5.4594855911
        0.6800081000         0.7542580639         3.0515533378         1.5088452279         3.4959239252         4.4543182866         5.4895656151
        0.6850156000         0.7583746934         3.0534162165         1.5139498816         3.5086833125         4.5872929350         5.5195268560
        0.6900161000         0.7624556020         3.0552641410         1.5267115159         3.5342020871         4.9197295562         5.5492281169
        0.6950114000         0.7665022074         3.0570977246         1.4960835936         3.5444095970         4.1218816654         5.5786797159
        0.7000179000         0.7705275807         3.0589228678         1.5165022085         3.5699283715         4.6537802592         5.6079767849
        0.7050169000         0.7745164940         3.0607326431         1.5139498816         3.5877915138         4.5872929350         5.6370084951
        0.7100129000         0.7784724767         3.0625286238         1.5241591891         3.6031027785         4.8532422319         5.6658005329
        0.7150180000         0.7824048975         3.0643150409         1.5088452279         3.6184140433         4.4543182866         5.6944210845
        0.7200088000         0.7862952646         3.0660834679         1.5037405742         3.6337253080         4.3213436381         5.7227355655
        0.7250104000         0.7901630224         3.0678427177         1.5113975548         3.6566922051         4.5208056108         5.7508854934
        0.7343483000         0.7973004027         3.0710920430         1.5139498816         3.6975222445         4.5872929350         5.8028320608
        0.7377799000         0.7998957965         3.0722745386         1.5088452279         3.7026259994         4.4543182866         5.8217215961
        0.7402414000         0.8017483238         3.0731188786         1.5241591891         3.7128335092         4.8532422319         5.8352044752
        0.7450117000         0.8053166022         3.0747459340         1.5267115159         3.7358004064         4.9197295562         5.8611747624
        0.7500101000         0.8090244545         3.0764376304         1.5292638428         3.7587673035         4.9862168804         5.8881608823
        0.7550122000         0.8127030975         3.0781170078         1.5445778039         3.7766304457         5.3851408257         5.9149344143
        0.7600068000         0.8163441861         3.0797802307         1.5292638428         3.7893898330         4.9862168804         5.9414346210
        0.7650076000         0.8199575763         3.0814317767         1.5267115159         3.8072529752         4.9197295562         5.9677332358
        0.7700055000         0.8235365183         3.0830685372         1.5292638428         3.8327717498         4.9862168804         5.9937811338
        0.7750086000         0.8270866487         3.0846930663         1.5420254771         3.8531867695         5.3186535015         6.0196193379
        0.7800053000         0.8305996081         3.0863015143         1.5292638428         3.8659461568         4.9862168804         6.0451870075
        0.7850080000         0.8340839793         3.0878977865         1.5292638428         3.8787055441         4.9862168804         6.0705466099
        0.7900064000         0.8375324344         3.0894785021         1.5394731502         3.9118799510         5.2521661773         6.0956448106
        0.7950074000         0.8409496142         3.0910457637         1.5369208233         3.9271912158         5.1856788531         6.1205153872
        0.8000072000         0.8443327735         3.0925982886         1.5241591891         3.9348468482         4.8532422319         6.1451383589
        0.8050073000         0.8476828027         3.0941364611         1.5573394382         3.9552618679         5.7175774469         6.1695202061
        0.8100068000         0.8509989694         3.0956599210         1.5318161696         3.9858843974         5.0527042046         6.1936555996
        0.8150075000         0.8542823308         3.0971691301         1.5343684965         3.9960919072         5.1191915288         6.2175522320
        0.8200058000         0.8575304057         3.0986629239         1.5343684965         4.0267144367         5.1191915288         6.2411920454
        0.8250075000         0.8607468246         3.1001429487         1.5471301308         4.0420257015         5.4516281500         6.2646014639
        0.8300065000         0.8639275308         3.1016073143         1.5139498816         4.0547850888         4.5872929350         6.2877509621
        0.8350079000         0.8670756468         3.1030574346         1.5445778039         4.0777519859         5.3851408257         6.3106632651
        0.8400045000         0.8701865410         3.1044911522         1.5420254771         4.1032707605         5.3186535015         6.3333046638
        0.8450074000         0.8732669858         3.1059115655         1.5522347845         4.1262376576         5.5846027984         6.3557244491
        0.8500799000         0.8763550462         3.1073362194         1.5369208233         4.1389970449         5.1856788531         6.3781996621
