% p_cw=[-2.123276e-13 9.891086e-10 -5.800253e-07 1.225497e-03 2.722391e+00]  p_ccw=[1.174692e-12 3.376534e-09 2.532918e-06 1.886410e-03 2.308813e+00]
Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target[rad/s]
        4.2400044000       247.1440626142         3.0039762970         1.5062929011         3.3657781748         4.3698793848         4.3134776194
        4.2450022000       247.3908974035         3.0042496024         1.5139498816         3.3836413170         4.5693413575         4.3177856992
        4.2500082000       247.6379843352         3.0045231962         1.5062929011         3.3964007043         4.3698793848         4.3220981797
        4.2550052000       247.8844743351         3.0047961384         1.5165022085         3.4193676015         4.6358286817         4.3264002417
        4.2600055000       248.1309742411         3.0050691009         1.5113975548         3.4423344986         4.5028540333         4.3307024767
        4.2650078000       248.3774195700         3.0053420125         1.5113975548         3.4525420084         4.5028540333         4.3350037591
        4.2700046000       248.6234408345         3.0056144640         1.5062929011         3.4653013957         4.3698793848         4.3392976402
        4.2750047000       248.8694712570         3.0058869351         1.5369208233         3.4882682929         5.1677272755         4.3435916811
        4.2800074000       249.1154759725         3.0061593874         1.5165022085         3.5137870674         4.6358286817         4.3478852734
        4.2850063000       249.3611401673         3.0064314723         1.5139498816         3.5214426998         4.5693413575         4.3521729224
        4.2900078000       249.6067782655         3.0067035380         1.5216068622         3.5393058420         4.7688033302         4.3564601160
        4.2950088000       249.8522377683         3.0069754157         1.5165022085         3.5673764941         4.6358286817         4.3607441925
        4.3000101000       250.0975577968         3.0072471487         1.5113975548         3.5724802490         4.5028540333         4.3650258348
        4.3050089000       250.3426009601         3.0075185850         1.5062929011         3.5954471461         4.3698793848         4.3693026448
        4.3100068000       250.5874456998         3.0077898115         1.5267115159         3.6107584109         4.9017779786         4.3735759916
        4.3150078000       250.8322877142         3.0080610449         1.5088452279         3.6286215531         4.4363667090         4.3778492909
        4.3200094000       251.0770042915         3.0083321494         1.5088452279         3.6388290629         4.4363667090         4.3821204009
        4.3250082000       251.3214290245         3.0086029408         1.5062929011         3.6668997150         4.3698793848         4.3863864173
        4.3300047000       251.5655864477         3.0088734462         1.5190545354         3.6771072248         4.7023160059         4.3906477682
        4.3350093000       251.8099843449         3.0091442283         1.5190545354         3.7000741219         4.7023160059         4.3949133162
        4.3400083000       252.0539534154         3.0094145455         1.5445778039         3.7255928965         5.3671892482         4.3991713798
        4.3450086000       252.2978304514         3.0096847711         1.5088452279         3.7383522838         4.4363667090         4.4034278370
        4.3500065000       252.5414348978         3.0099547051         1.5267115159         3.7638710584         4.9017779786         4.4076795367
        4.3550092000       252.7851174286         3.0102247361         1.5088452279         3.7715266908         4.4363667090         4.4119325992
        4.3600071000       253.0284102764         3.0104943457         1.5216068622         3.7893898330         4.7688033302         4.4161788604
        4.3650083000       253.2717076600         3.0107639709         1.5062929011         3.8072529752         4.3698793848         4.4204252008
        4.3700095000       253.5148487379         3.0110334335         1.5190545354         3.8276679949         4.7023160059         4.4246688132
        4.3750086000       253.7577313643         3.0113026204         1.5062929011         3.8378755047         4.3698793848         4.4289079147
        4.3800093000       254.0005351791         3.0115717307         1.5343684965         3.8684980342         5.1012399513         4.4331456407
        4.3850083000       254.2430998058         3.0118405866         1.5139498816         3.8838092990         4.5693413575         4.4373791921
        4.3900048000       254.4853864779         3.0121091452         1.5216068622         3.9042243187         4.7688033302         4.4416078922
        4.3950043000       254.7276617225         3.0123777020         1.5139498816         3.9195355834         4.5693413575         4.4458363930
        4.4000051000       254.9698428051         3.0126461654         1.5216068622         3.9322949707         4.7688033302         4.4500632502
        4.4050072000       255.2119294567         3.0129145352         1.5062929011         3.9527099904         4.3698793848         4.4542884594
        4.4100067000       255.4537328369         3.0131826019         1.5165022085         3.9680212551         4.6358286817         4.4585087245
        4.4150074000       255.6954366548         3.0134505693         1.5165022085         3.9858843974         4.6358286817         4.4627272520
        4.4200065000       255.9369054443         3.0137182873         1.5062929011         3.9960919072         4.3698793848         4.4669416774
        4.4250066000       256.1782646702         3.0139858950         1.5190545354         4.0241625592         4.7023160059         4.4711541905
        4.4300054000       256.4194031769         3.0142532692         1.5190545354         4.0394738240         4.7023160059         4.4753628514
        4.4350056000       256.6604510553         3.0145205542         1.5190545354         4.0598888437         4.7023160059         4.4795699306
        4.4400048000       256.9012924390         3.0147876216         1.5037405742         4.0752001084         4.3033920606         4.4837734057
        4.4450025000       257.1419032135         3.0150544446         1.5113975548         4.0956151281         4.5028540333         4.4879728559
        4.4500044000       257.3825575198         3.0153213273         1.5088452279         4.1134782703         4.4363667090         4.4921730659
        4.4550028000       257.6228847109         3.0155878588         1.5190545354         4.1364451674         4.7023160059         4.4963675667
        4.4600045000       257.8632116017         3.0158544014         1.5165022085         4.1466526773         4.6358286817         4.5005620622
        4.4650055000       258.1033457163         3.0161207419         1.4960835936         4.1594120646         4.1039300879         4.5047531932
        4.4700063000       258.3433109650         3.0163869067         1.5165022085         4.1874827166         4.6358286817         4.5089413768
        4.4750078000       258.5831503596         3.0166529435         1.5216068622         4.2002421039         4.7688033302         4.5131273640
        4.4800058000       258.8226624810         3.0169186291         1.5088452279         4.2206571236         4.4363667090         4.5173076391
        4.4850135000       259.0624794500         3.0171846646         1.5037405742         4.2308646334         4.3033920606         4.5214932348
        4.4900079000       259.3014998309         3.0174498283         1.5113975548         4.2563834080         4.5028540333         4.5256649274
        4.4950083000       259.5406474757         3.0177151450         1.5113975548         4.2716946728         4.5028540333         4.5298388412
        4.5000047000       259.7794438875         3.0179800839         1.5471301308         4.2997653248         5.4336765724         4.5340066248
        4.5050075000       260.0183858565         3.0182451963         1.5139498816         4.3150765896         4.5693413575         4.5381769489
        4.5100066000       260.2569907139         3.0185099467         1.5165022085         4.3252840994         4.6358286817         4.5423413893
        4.5150092000       260.4956019752         3.0187747162         1.4986359205         4.3380434867         4.1704174121         4.5465059414
        4.5200051000       260.7337331322         3.0190389652         1.5139498816         4.3610103838         4.5693413575         4.5506621142
        4.5250093000       260.9720989398         3.0193034866         1.5037405742         4.3788735260         4.3033920606         4.5548223823
        4.5300529000       261.2121783343         3.0195699220         1.5088452279         4.3941847908         4.4363667090         4.5590125582
        4.5350046000       261.4477237166         3.0198313378         1.5496824576         4.4145998105         5.5001638967         4.5631236007
        4.5400037000       261.6853633992         3.0200950901         1.5088452279         4.4248073203         4.4363667090         4.5672711956
        4.5450025000       261.9228274732         3.0203586599         1.5062929011         4.4426704625         4.3698793848         4.5714157255
        4.5500062000       262.1603625896         3.0206223209         1.5088452279         4.4656373597         4.4363667090         4.5755614954
        4.5550047000       262.3974891530         3.0208855408         1.5011882474         4.4758448695         4.2369047363         4.5797001347
        4.5600496000       262.6366528876         3.0211510347         1.5113975548         4.5039155215         4.5028540333         4.5838743293
        4.5650044000       262.8713847119         3.0214116211         1.5062929011         4.5192267863         4.3698793848         4.5879711725
        4.5700028000       263.1080207276         3.0216743340         1.5088452279         4.5319861736         4.4363667090         4.5921012501
        4.5750057000       263.3447073705         3.0219371157         1.5062929011         4.5575049482         4.3698793848         4.5962322113
        4.5800022000       263.5809289084         3.0221993936         1.5292638428         4.5830237228         4.9682653028         4.6003550549
        4.5850052000       263.8172950703         3.0224618448         1.5011882474         4.5906793551         4.2369047363         4.6044804227
        4.5900025000       264.0532292839         3.0227238291         1.5394731502         4.6136462523         5.2342145997         4.6085982515
        4.5950069000       264.2893356535         3.0229860173         1.5165022085         4.6340612719         4.6358286817         4.6127190851
        4.6000109000       264.5252598551         3.0232480161         1.5113975548         4.6493725367         4.5028540333         4.6168367392
        4.6050069000       264.7606438399         3.0235094278         1.5165022085         4.6646838015         4.6358286817         4.6209449647
        4.6100081000       264.9961095073         3.0237709431         1.5037405742         4.6850988211         4.3033920606         4.6250546159
        4.6150068000       265.2312940516         3.0240321591         1.5292638428         4.7080657183         4.9682653028         4.6291593605
        4.6200056000       265.4663197737         3.0242932117         1.5088452279         4.7182732281         4.4363667090         4.6332613332
        4.6250047000       265.7011959111         3.0245541112         1.5216068622         4.7437920027         4.7688033302         4.6373606951
        4.6300045000       265.9359410638         3.0248148782         1.4884266131         4.7539995125         3.9044681152         4.6414577710
        4.6350054000       266.1705737789         3.0250755334         1.5190545354         4.7769664097         4.7023160059         4.6455528844
        4.6400355000       266.4064108152         3.0253375398         1.5165022085         4.7897257969         4.6358286817         4.6496690171
        4.6450048000       266.6392339196         3.0255962109         1.5165022085         4.8152445715         4.6358286817         4.6537325469
        4.6500079000       266.8734765073         3.0258564723         1.5165022085         4.8331077137         4.6358286817         4.6578208513
        4.6550067000       267.1073531572         3.0261163403         1.5113975548         4.8535227334         4.5028540333         4.6619027689
        4.6600077000       267.3411679429         3.0263761529         1.5139498816         4.8637302433         4.5693413575         4.6659836067
        4.6650050000       267.5746449499         3.0266356036         1.5190545354         4.8943527728         4.7023160059         4.6700585492
        4.6700030000       267.8079897485         3.0268949206         1.5113975548         4.9045602826         4.5028540333         4.6741311843
        4.6750042000       268.0413187262         3.0271542335         1.4986359205         4.9275271797         4.1704174121         4.6782035432
        4.6800022000       268.2743331460         3.0274132103         1.5420254771         4.9530459543         5.3007019240         4.6822704120
        4.6850088000       268.5075827311         3.0276724620         1.5267115159         4.9709090965         4.9017779786         4.6863413852
        4.6900080000       268.7403218631         3.0279311598         1.5088452279         4.9760128515         4.4363667090         4.6904034494
        4.6950056000       268.9728208682         3.0281896043         1.5241591891         5.0015316260         4.8352906544         4.6944613225
        4.7000064000       269.2053028266         3.0284480435         1.5165022085         5.0040835035         4.6358286817         4.6985188982
        4.7050055000       269.4375397267         3.0287062239         1.5241591891         5.0117391359         4.8352906544         4.7025721967
        4.7100077000       269.6697543439         3.0289643932         1.5062929011         5.0015316260         4.3698793848         4.7066251063
        4.7150068000       269.9016587122         3.0292222314         1.5190545354         5.0066353810         4.7023160059         4.7106726011
