% Potentiometer Recording  5.0 s
% Vg_offset=1.338567V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        3.2553908000         1.3352870017         2.5440736330        -0.0854362116
        3.2604000000         1.3301823480         2.5364180006        -0.2184108601
        3.2654148000         1.3429439823         2.5491773879         0.1140257610
        3.2703933000         1.3454963091         2.5491773879         0.1805130853
        3.2754306000         1.3454963091         2.5517292654         0.1805130853
        3.2804838000         1.3429439823         2.5517292654         0.1140257610
        3.2854206000         1.3301823480         2.5364180006        -0.2184108601
        3.2903977000         1.3378393285         2.5466255105        -0.0189488874
        3.2954375000         1.3378393285         2.5440736330        -0.0189488874
        3.3004219000         1.3378393285         2.5466255105        -0.0189488874
        3.3054422000         1.3352870017         2.5466255105        -0.0854362116
        3.3105112000         1.3429439823         2.5491773879         0.1140257610
        3.3154122000         1.3352870017         2.5466255105        -0.0854362116
        3.3204291000         1.3378393285         2.5440736330        -0.0189488874
        3.3254496000         1.3378393285         2.5440736330        -0.0189488874
        3.3304516000         1.3557056165         2.5440736330         0.4464623822
        3.3354540000         1.3378393285         2.5440736330        -0.0189488874
        3.3404128000         1.3429439823         2.5491773879         0.1140257610
        3.3454983000         1.3454963091         2.5491773879         0.1805130853
        3.3505211000         1.3301823480         2.5364180006        -0.2184108601
        3.3555635000         1.3327346748         2.5415217556        -0.1519235359
        3.3604656000         1.3454963091         2.5491773879         0.1805130853
        3.3655092000         1.3454963091         2.5517292654         0.1805130853
        3.3704187000         1.3454963091         2.5440736330         0.1805130853
        3.3754291000         1.3378393285         2.5440736330        -0.0189488874
        3.3804166000         1.3327346748         2.5389698781        -0.1519235359
        3.3854216000         1.3327346748         2.5364180006        -0.1519235359
        3.3905756000         1.3403916554         2.5440736330         0.0475384368
        3.3954157000         1.3327346748         2.5389698781        -0.1519235359
        3.4004182000         1.3582579434         2.5389698781         0.5129497064
        3.4054290000         1.3633625971         2.5389698781         0.6459243549
        3.4104151000         1.3327346748         2.5466255105        -0.1519235359
        3.4154241000         1.3378393285         2.5466255105        -0.0189488874
