% K_lin=8.298800  p_cw=[-3.546300 37.820400 -77.140100]  p_ccw=[2.942800 3.999600 -23.482400]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        1.1050072000         0.8840057600         3.1845258791         1.5752057262         1.3931768990         6.1962861813         7.3361870011
        1.1100045000         0.8880036000         3.1867048523         1.6058336485         1.4314550609         6.9941340720         7.3693642757
        1.1150041000         0.8920032800         3.1888870450         1.5726533993         1.4442144482         6.1297988571         7.4025568201
        1.1200048000         0.8960038400         3.1910719425         1.5752057262         1.4697332228         6.1962861813         7.4357566674
        1.1250042000         0.9000033600         3.1932585027         1.5828627068         1.5003557523         6.3957481540         7.4689478840
        1.1300050000         0.9040040000         3.1954479135         1.5803103799         1.5182188945         6.3292608298         7.5021483952
        1.1350042000         0.9080033600         3.1976388682         1.5777580530         1.5411857916         6.2627735055         7.5353382840
        1.1400051000         0.9120040800         3.1998328201         1.5854150336         1.5667045662         6.4622354782         7.5685394591
        1.1450048000         0.9160038400         3.2020285042         1.5701010725         1.5845677084         6.0633115329         7.6017326674
        1.1500057000         0.9200045600         3.2042269814         1.5879673605         1.6151902379         6.5287228024         7.6349338425
        1.1550043000         0.9240034400         3.2064267195         1.5879673605         1.6330533802         6.5287228024         7.6681197479
        1.1600048000         0.9280038400         3.2086295734         1.5981766679         1.6585721547         6.7946720993         7.7013182674
        1.1650133000         0.9320106400         3.2108382443         1.5879673605         1.6866428068         6.5287228024         7.7345698992
        1.1700031000         0.9360024800         3.2130409577         1.6007289948         1.7121615814         6.8611594236         7.7676973810
        1.1750041000         0.9400032800         3.2152509148         1.6007289948         1.7427841109         6.8611594236         7.8008992201
        1.1800036000         0.9440028800         3.2174625172         1.6007289948         1.7606472531         6.8611594236         7.8340911006
        1.1850046000         0.9480036800         3.2196770994         1.5930720142         1.7785103953         6.6616974509         7.8672929396
        1.1900124000         0.9520099200         3.2218970213         1.5930720142         1.8142366797         6.6616974509         7.9005399241
        1.1950050000         0.9560040000         3.2241125321         1.6007289948         1.8372035769         6.8611594236         7.9336859952
        1.2000050000         0.9600040000         3.2263336625         1.6058336485         1.8652742289         6.9941340720         7.9668811952
        1.2051494000         0.9641195200         3.2286213868         1.6058336485         1.8907930035         6.9941340720         8.0010350726
        1.2100044000         0.9680035200         3.2307826985         1.6058336485         1.9188636556         6.9941340720         8.0332676118
        1.2150048000         0.9720038400         3.2330110644         1.6007289948         1.9392786752         6.8611594236         8.0664654674
        1.2200042000         0.9760033600         3.2352413516         1.6109383022         1.9647974498         7.1271087205         8.0996566840
        1.2251057000         0.9800845600         3.2375196346         1.6083859753         1.9928681019         7.0606213963         8.1335257465
        1.2300032000         0.9840025600         3.2397091465         1.6109383022         2.0285943863         7.1271087205         8.1660404449
        1.2350046000         0.9880036800         3.2419474756         1.6109383022         2.0490094060         7.1271087205         8.1992449396
        1.2400044000         0.9920035200         3.2441874866         1.6185952828         2.0821838129         7.3265706932         8.2324388118
        1.2450052000         0.9960041600         3.2464303519         1.6109383022         2.1025988326         7.1271087205         8.2656393230
        1.2500029000         0.9999976800         3.2486716333         1.6211476096         2.1281176072         7.3930580174         8.2987807468
        1.2550030000         0.9959976000         3.2464266722         1.6160429559         2.1561882593         7.2600833689         8.2655848829
        1.2600028000         0.9919977600         3.2441842592         1.6160429559         2.1817070338         7.2600833689         8.2323910107
