% K_lin=2.307700  p_cw=[-0.099100 16.403300 -43.799200]  p_ccw=[-1.573900 20.596500 -38.892000]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
       98.9300103000         0.5349948500         2.7925239586         1.3837812120         1.0843997265         1.1881284839         1.2346076154
       98.9350133000         0.5324933500         2.7921597464         1.3888858657         1.0971591138         1.3211031324         1.2288349038
       98.9400113000         0.5299943500         2.7917958999         1.3863335388         1.0997109912         1.2546158082         1.2230679615
       98.9450095000         0.5274952500         2.7914320404         1.3914381925         1.1048147461         1.3875904566         1.2173007884
       98.9500255000         0.5249872500         2.7910668868         1.3914381925         1.1048147461         1.3875904566         1.2115130768
       98.9551660000         0.5224170000         2.7906926716         1.3863335388         1.1175741334         1.2546158082         1.2055817109
       98.9600262000         0.5199869000         2.7903388632         1.3837812120         1.1175741334         1.1881284839         1.1999737691
       98.9650270000         0.5174865000         2.7899748211         1.3863335388         1.1201260109         1.2546158082         1.1942035961
       98.9700107000         0.5149946500         2.7896120255         1.3914381925         1.1328853982         1.3875904566         1.1884531538
       98.9750254000         0.5124873000         2.7892469748         1.3965428462         1.1405410306         1.5205651051         1.1826669422
       98.9800106000         0.5099947000         2.7888840733         1.3837812120         1.1379891531         1.1881284839         1.1769147692
       98.9850109000         0.5074945500         2.7885200742         1.3914381925         1.1481966629         1.3875904566         1.1711451730
       98.9900109000         0.5049945500         2.7881560987         1.3863335388         1.1558522953         1.2546158082         1.1653759230
       98.9950254000         0.5024873000         2.7877910692         1.4041998268         1.1584041728         1.7200270777         1.1595899422
       99.0000259000         0.4999870500         2.7874270606         1.3863335388         1.1635079277         1.2546158082         1.1538201153
       99.0050108000         0.4974946000         2.7870641891         1.3888858657         1.1660598052         1.3211031324         1.1480682884
       99.0100174000         0.4949913000         2.7866997398         1.4144091342         1.1711635601         1.9859763747         1.1422914230
       99.0150106000         0.4924947000         2.7863362675         1.3863335388         1.1762673150         1.2546158082         1.1365300192
       99.0200162000         0.4899919000         2.7859718942         1.3914381925         1.1890267023         1.3875904566         1.1307543076
       99.0250282000         0.4874859000         2.7856070567         1.3837812120         1.1864748248         1.1881284839         1.1249712114
       99.0300162000         0.4849919000         2.7852439679         1.3837812120         1.1890267023         1.1881284839         1.1192158076
       99.0350183000         0.4824908500         2.7848798543         1.3837812120         1.1915785797         1.1881284839         1.1134441345
       99.0400110000         0.4799945000         2.7845164267         1.3837812120         1.1992342121         1.1881284839         1.1076833077
       99.0459161000         0.4770419500         2.7840865860         1.3863335388         1.2068898445         1.2546158082         1.1008697080
       99.0500191000         0.4749904500         2.7837879240         1.3837812120         1.2068898445         1.1881284839         1.0961354615
       99.0550138000         0.4724931000         2.7834243558         1.3939905194         1.2273048642         1.4540777808         1.0903723269
       99.0600205000         0.4699897500         2.7830599157         1.3863335388         1.2222011093         1.2546158082         1.0845953461
       99.0650290000         0.4674855000         2.7826953463         1.3863335388         1.2273048642         1.2546158082         1.0788162884
