% K_lin=7.165500  p_cw=[-3.083600 35.229700 -73.320600]  p_ccw=[2.523100 5.992400 -26.429300]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        3.5050062000        -0.8040049600         1.9111639913         1.1259961995         0.1146862920        -5.4862015586        -5.7610975409
        3.5100056000        -0.8080044800         1.9093306518         1.1464148143         0.0942712724        -4.9543029648        -5.7897561014
        3.5150028000        -0.8120022400         1.9074970339         1.1285485263         0.0662006203        -5.4197142343        -5.8184020508
        3.5200053000        -0.8160042400         1.9056603825         1.1336531800         0.0381299683        -5.2867395859        -5.8470783817
        3.5250024000        -0.8200019200         1.9038246243         1.1208915457         0.0228187035        -5.6191762070        -5.8757237578
        3.5300009000        -0.8240007200         1.9019872605         1.1438624875         0.0049555613        -5.0207902890        -5.9043771592
        3.5350012000        -0.8280009600         1.9001481411         1.1106822383        -0.0052519485        -5.8851255039        -5.9330408789
        3.5400009000        -0.8320007200         1.8983081466         1.1311008532        -0.0027000711        -5.3532269101        -5.9617011592
        3.5450030000        -0.8360024000         1.8964661701         1.1311008532         0.0100593162        -5.3532269101        -5.9903751973
        3.5500020000        -0.8400016000         1.8946242354         1.1285485263         0.0049555613        -5.4197142343        -6.0190314648
        3.5550021000        -0.8440016800         1.8927807937         1.1208915457         0.0024036839        -5.6191762070        -6.0476940381
        3.5600025000        -0.8480020000         1.8909361373         1.1208915457         1.0946072363        -5.6191762070        -6.0763583310
        3.5650017000        -0.8520013600         1.8890908180         1.1208915457         1.1124703785        -5.6191762070        -6.1050157451
        3.5700017000        -0.8560013600         1.8872440956         1.1183392189         1.1022628687        -5.6856635312        -6.1336777451
        3.5750053000        -0.8600042400         1.8853949326         1.1132345652         4.9964278711        -5.8186381797        -6.1623603817
        3.5800059000        -0.8640047200         1.8835457658         1.1387578337         5.0117391359        -5.1537649374        -6.1910258212
        3.5850022000        -0.8680017600         1.8816970765         1.1336531800         5.0142910133        -5.2867395859        -6.2196666113
        3.5900036000        -0.8720028800         1.8798453842         1.0953682772         5.0015316260        -6.2840494493        -6.2483366367
        3.5950033000        -0.8760026400         1.8779932034         1.1259961995         5.0117391359        -5.4862015586        -6.2769969170
        3.6000013000        -0.8800010400         1.8761405332         1.1234438726         5.0066353810        -5.5526888828        -6.3056474521
        3.6050028000        -0.8840022400         1.8742854433         1.1030252578         4.9709090965        -6.0845874766        -6.3343180507
        3.6100021000        -0.8880016800         1.8724300456         1.1157868920         4.9555978318        -5.7521508555        -6.3629760381
        3.6150019000        -0.8920015200         1.8705733364         1.1055775846         4.9326309346        -6.0181001524        -6.3916368916
        3.6200015000        -0.8960012000         1.8687155736         1.1132345652         4.9071121601        -5.8186381797        -6.4202965986
        3.6250020000        -0.9000016000         1.8668563460         1.1081299115         4.8918008953        -5.9516128282        -6.4489614648
        3.6300023000        -0.9040018400         1.8649960605         1.1132345652         4.8560746109        -5.8186381797        -6.4776251845
        3.6350018000        -0.9080014400         1.8631349385         1.1055775846         4.8331077137        -6.0181001524        -6.5062843183
        3.6400019000        -0.9120015200         1.8612724568         1.0979206040         4.8101408166        -6.2175621251        -6.5349468916
        3.6450024000        -0.9160019200         1.8594086875         1.1004729309         4.7846220420        -6.1510748008        -6.5636117578
        3.6500012000        -0.9200009600         1.8575444116         1.1055775846         4.7616551449        -6.0181001524        -6.5922668789
        3.6550017000        -0.9240013600         1.8556783591         1.1030252578         4.7463438801        -6.0845874766        -6.6209317451
        3.6600010000        -0.9280008000         1.8538116099         1.1183392189         4.7208251056        -5.6856635312        -6.6495897324
        3.6650007000        -0.9320005600         1.8519435647         1.1055775846         4.6902025760        -6.0181001524        -6.6782500127
        3.6700022000        -0.9360017600         1.8500736975         1.0902636235         4.6672356789        -6.4170240977        -6.7069206113
        3.6750020000        -0.9400016000         1.8482033146         1.1030252578         4.6366131494        -6.0845874766        -6.7355814648
        3.6800052000        -0.9440041600         1.8463305056         1.1004729309         4.6213018847        -6.1510748008        -6.7642618085
        3.6850014000        -0.9480011200         1.8444591625         1.1081299115         4.5830237228        -5.9516128282        -6.7929020254
        3.6900034000        -0.9520027200         1.8425844892         1.0979206040         4.5626087031        -6.2175621251        -6.8215754902
        3.6950021000        -0.9560016800         1.8407098934         1.0979206040         4.5421936834        -6.2175621251        -6.8502300381
        3.7000013000        -0.9600010400         1.8388339486         1.0979206040         4.5166749088        -6.2175621251        -6.8788874521
        3.7050022000        -0.9640017600         1.8369562018         1.0953682772         4.4860523793        -6.2840494493        -6.9075546113
        3.7100022000        -0.9680017600         1.8350776267         1.0953682772         4.4554298498        -6.2840494493        -6.9362166113
        3.7150016000        -0.9720012800         1.8331981089         1.0800543160         4.4273591978        -6.6829733946        -6.9648751719
        3.7200019000        -0.9760015200         1.8313170823         1.0775019892         4.4018404232        -6.7494607189        -6.9935388916
        3.7250012000        -0.9800009600         1.8294352595         1.0953682772         4.3814254035        -6.2840494493        -7.0221968789
        3.7300018000        -0.9840014400         1.8275517723         1.0877112966         4.3584585064        -6.4835114220        -7.0508623183
        3.7350021000        -0.9880016800         1.8256672209         1.0800543160         4.3252840994        -6.6829733946        -7.0795260381
        3.7400019000        -0.9920015200         1.8237816786         1.0851589698         4.3048690797        -6.5499987462        -7.1081868916
        3.7450018000        -0.9960014400         1.8218949173         1.0800543160         4.2793503051        -6.6829733946        -7.1368483183
        3.7500014000        -0.9999988800         1.8200081432         1.0775019892         4.2512796531        -6.7494607189        -7.1654919746
        3.7550014000        -0.9959988800         1.8218961252         1.0851589698         4.2283127560        -6.5499987462        -7.1368299746
        3.7600024000        -0.9919980800         1.8237833008         1.0775019892         4.2027939814        -6.7494607189        -7.1081622422
        3.7650017000        -0.9879986400         1.8256686535         1.0698450086         4.1772752068        -6.9489226916        -7.0795042549
        3.7700025000        -0.9839980000         1.8275533924         1.0800543160         4.1466526773        -6.6829733946        -7.0508376690
        3.7750011000        -0.9799991200         1.8294361255         1.0775019892         4.1211339027        -6.7494607189        -7.0221836943
        3.7800029000        -0.9759976800         1.8313188886         1.0826066429         4.1007188830        -6.6164860704        -6.9935113760
        3.7850031000        -0.9719975200         1.8331998765         1.0647403549         4.0752001084        -7.0818973400        -6.9648482295
        3.7900029000        -0.9679976800         1.8350795434         1.0698450086         4.0369219465        -6.9489226916        -6.9361873760
        3.7950016000        -0.9639987200         1.8369576291         1.0775019892         4.0165069269        -6.7494607189        -6.9075328281
        3.8000019000        -0.9599984800         1.8388351498         1.0621880280         3.9833325199        -7.1483846642        -6.8788691084
        3.8050022000        -0.9559982400         1.8407115064         1.0672926818         3.9603656228        -7.0154100158        -6.8502053887
        3.8100015000        -0.9519988000         1.8425863263         1.0621880280         3.9297430933        -7.1483846642        -6.8215474014
        3.8150021000        -0.9479983200         1.8444604739         1.0723973355         3.9144318285        -6.8824353673        -6.7928819619
        3.8200055000        -0.9439956000         1.8463345121         1.0749496623         3.8838092990        -6.8159480431        -6.7642004718
        3.8250041000        -0.9399967200         1.8482055973         1.0902636235         3.8506348920        -6.4170240977        -6.7355464971
        3.8300034000        -0.9359972800         1.8500757917         1.0570833743         3.8327717498        -7.2813593127        -6.7068885098
