Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega_out[deg/s]           Omega_target[deg/s]
        1.0100031000        63.1944837827         2.7977655294         1.4093044805         2.8681620703       105.7310923886        63.1944837827
        1.0150024000        63.5046346750         2.7981264522         1.4016475000         2.8681620703        94.3027631807        63.5046346750
        1.0200037000        63.8148704594         2.7984873975         1.3965428462         2.8681620703        86.6838770421        63.8148704594
        1.0250041000        64.1250110418         2.7988481558         1.3990951731         2.8732658252        90.4933201114        64.1250110418
        1.0300029000        64.4350128445         2.7992086768         1.4067521537         2.8885770900       101.9216493193        64.4350128445
        1.0350036000        64.7450927254         2.7995692128         1.3990951731         2.8936808449        90.4933201114        64.7450927254
        1.0400019000        65.0549838687         2.7999294538         1.4093044805         2.9038883547       105.7310923886        65.0549838687
        1.0450026000        65.3649836793         2.8002897457         1.3965428462         2.9013364773        86.6838770421        65.3649836793
        1.0500016000        65.6748377936         2.8006497931         1.3990951731         2.9140958646        90.4933201114        65.6748377936
        1.0550021000        65.9847443694         2.8010098264         1.4093044805         2.9268552519       105.7310923886        65.9847443694
        1.0600017000        66.2945544676         2.8013696728         1.4016475000         2.9243033744        94.3027631807        66.2945544676
        1.0650013000        66.6043236787         2.8017293971         1.4041998268         2.9396146392        98.1122062500        66.6043236787
        1.0700026000        66.9141571203         2.8020891215         1.4067521537         2.9370627617       101.9216493193        66.9141571203
        1.0750014000        67.2237944191         2.8024485439         1.3990951731         2.9396146392        90.4933201114        67.2237944191
        1.0800025000        67.5335327096         2.8028080094         1.3990951731         2.9498221490        90.4933201114        67.5335327096
        1.0850014000        67.8430930959         2.8031671945         1.3965428462         2.9523740265        86.6838770421        67.8430930959
        1.0900028000        68.1527664348         2.8035264370         1.3990951731         2.9651334138        90.4933201114        68.1527664348
        1.0950015000        68.4622305673         2.8038853632         1.4118568074         2.9778928011       109.5405354579        68.4622305673
        1.1000031000        68.7718319897         2.8042443753         1.3965428462         2.9778928011        86.6838770421        68.7718319897
        1.1050020000        69.0812238665         2.8046030712         1.3965428462         2.9804446785        86.6838770421        69.0812238665
        1.1100022000        69.3906535918         2.8049617381         1.4016475000         2.9932040658        94.3027631807        69.3906535918
        1.1150015000        69.6999848269         2.8053202180         1.3990951731         2.9983078207        90.4933201114        69.6999848269
        1.1200034000        70.0094339208         2.8056787619         1.4093044805         3.0085153306       105.7310923886        70.0094339208
        1.1250019000        70.3186294948         2.8060369396         1.4093044805         3.0161709629       105.7310923886        70.3186294948
        1.1300022000        70.6278930396         2.8063951238         1.4067521537         3.0238265953       101.9216493193        70.6278930396
        1.1350021000        70.9370882771         2.8067531568         1.4041998268         3.0314822277        98.1122062500        70.9370882771
